<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1012,0,20101217,090008,21321,4
BUX1012,0,20101217,090008,21321,6
BUX1012,0,20101217,090008,21321,3
BUX1012,0,20101217,090008,21321,2
BUX1012,0,20101217,090008,21321,5
BUX1012,0,20101217,090008,21321,3
BUX1012,0,20101217,090008,21321,2
BUX1012,0,20101217,090008,21321,22
BUX1012,0,20101217,090008,21321,2
BUX1012,0,20101217,090008,21321,1
BUX1012,0,20101217,090008,21321,3
BUX1012,0,20101217,090008,21321,1
BUX1012,0,20101217,090008,21321,1
BUX1012,0,20101217,090008,21321,1
BUX1012,0,20101217,090008,21321,1
BUX1112,0,20101217,090008,21920,2
BUX1112,0,20101217,090008,21920,1
DANUBIUS,0,20101217,090029,4210,50
ECONET,0,20101217,090029,92,1000
GENESIS,0,20101217,090029,205,468
GENESIS,0,20101217,090029,205,1032
GENESIS,0,20101217,090029,205,468
KARPOT,0,20101217,090029,480,308
KEG,0,20101217,090029,157,1000
KEG,0,20101217,090029,157,1000
KEG,0,20101217,090029,157,2400
KEG,0,20101217,090029,157,1600
KEG,0,20101217,090029,157,500
KEG,0,20101217,090029,157,200
MOL,0,20101217,090029,19300,31
MOL,0,20101217,090029,19300,70
MOL,0,20101217,090029,19300,100
MOL,0,20101217,090029,19300,67
MOL,0,20101217,090029,19300,60
MOL,0,20101217,090029,19300,40
MOL,0,20101217,090029,19300,30
MOL,0,20101217,090029,19300,100
MOL,0,20101217,090029,19300,330
MOL,0,20101217,090029,19300,5
MOL,0,20101217,090029,19300,10
MOL,0,20101217,090029,19300,5
MOL,0,20101217,090029,19300,20
MOL,0,20101217,090029,19300,30
MTELEKOM,0,20101217,090029,521,800
MTELEKOM,0,20101217,090029,521,10
MTELEKOM,0,20101217,090029,521,500
MTELEKOM,0,20101217,090029,521,95
MTELEKOM,0,20101217,090029,521,200
MTELEKOM,0,20101217,090029,521,250
MTELEKOM,0,20101217,090029,521,1484
MTELEKOM,0,20101217,090029,521,94
MTELEKOM,0,20101217,090029,521,100
OTP,0,20101217,090029,5250,285
OTP,0,20101217,090029,5250,870
OTP,0,20101217,090029,5250,1853
OTP,0,20101217,090029,5250,89
OTP,0,20101217,090029,5250,29
OTP,0,20101217,090029,5250,10
OTP,0,20101217,090029,5250,375
OTP,0,20101217,090029,5250,644
OTP,0,20101217,090029,5250,356
OTP,0,20101217,090029,5250,644
OTP,0,20101217,090029,5250,356
OTP,0,20101217,090029,5250,500
