<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1012,0,20101210,090002,21640,2
BUX1012,0,20101210,090002,21640,2
ECONET,0,20101210,090007,94,2000
ECONET,0,20101210,090007,94,2000
ECONET,0,20101210,090007,94,3000
ECONET,0,20101210,090007,94,2020
ECONET,0,20101210,090007,94,1000
ECONET,0,20101210,090007,94,1250
FHB,0,20101210,090007,1007,60
FHB,0,20101210,090007,1007,17
FHB,0,20101210,090007,1007,221
HUMET,0,20101210,090007,9,6039
HUMET,0,20101210,090007,9,30000
HUMET,0,20101210,090007,9,2000
HUMET,0,20101210,090007,9,6000
HUMET,0,20101210,090007,9,5000
HUMET,0,20101210,090007,9,7261
MOL,0,20101210,090007,19750,4
MOL,0,20101210,090007,19750,5
MOL,0,20101210,090007,19750,5
MOL,0,20101210,090007,19750,23
MOL,0,20101210,090007,19750,27
MOL,0,20101210,090007,19750,16
MTELEKOM,0,20101210,090007,540,4
MTELEKOM,0,20101210,090007,540,36
MTELEKOM,0,20101210,090007,540,141
MTELEKOM,0,20101210,090007,540,132
MTELEKOM,0,20101210,090007,540,700
MTELEKOM,0,20101210,090007,540,1305
MTELEKOM,0,20101210,090007,540,165
MTELEKOM,0,20101210,090007,540,1000
MTELEKOM,0,20101210,090007,540,450
MTELEKOM,0,20101210,090007,540,1305
MTELEKOM,0,20101210,090007,540,2500
MTELEKOM,0,20101210,090007,540,2302
MTELEKOM,0,20101210,090007,540,170
OTP,0,20101210,090007,5310,3
OTP,0,20101210,090007,5310,1
OTP,0,20101210,090007,5310,99
OTP,0,20101210,090007,5310,65
OTP,0,20101210,090007,5310,35
OTP,0,20101210,090007,5310,90
OTP,0,20101210,090007,5310,60
OTP,0,20101210,090007,5310,68
OTP,0,20101210,090007,5310,100
PANNERGY,0,20101210,090007,872,100
RFV,0,20101210,090007,8220,3
RICHTER,0,20101210,090007,43800,10
RICHTER,0,20101210,090007,43800,7
TVNETWORK,0,20101210,090007,297,1000
BUX1012,0,20101210,090200,21640,2
BUX1012,0,20101210,090200,21645,1
BOOK,0,20101210,090202,510,60
BOOK,0,20101210,090202,510,440
OTP,0,20101210,090202,5320,1
ECONET,0,20101210,090204,94,999
OTP,0,20101210,090204,5310,25
PANNERGY,0,20101210,090204,863,64
RFV,0,20101210,090204,8220,6
OTP,0,20101210,090210,5311,1
OTP,0,20101210,090210,5310,999
RFV,0,20101210,090210,8220,1
