<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BOOK,0,20101223,090024,483,150
BOOK,0,20101223,090024,483,149
BOOK,0,20101223,090024,483,51
BOOK,0,20101223,090024,483,54
BOOK,0,20101223,090024,483,95
BOOK,0,20101223,090024,483,247
FHB,0,20101223,090024,975,251
FHB,0,20101223,090024,975,749
FOTEX,0,20101223,090024,382,100
FOTEX,0,20101223,090024,382,99
FOTEX,0,20101223,090024,382,1
GENESIS,0,20101223,090024,193,300
GENESIS,0,20101223,090024,193,50
HUMET,0,20101223,090024,9,8988
HUMET,0,20101223,090024,9,6012
HUMET,0,20101223,090024,9,5488
HUMET,0,20101223,090024,9,10000
HUMET,0,20101223,090024,9,1100
HUMET,0,20101223,090024,9,20000
HUMET,0,20101223,090024,9,10000
HUMET,0,20101223,090024,9,343
HUMET,0,20101223,090024,9,11500
HUMET,0,20101223,090024,9,11000
HUMET,0,20101223,090024,9,266
HUMET,0,20101223,090024,9,30000
MOL,0,20101223,090024,20400,2
MOL,0,20101223,090024,20400,6
MOL,0,20101223,090024,20400,8
MOL,0,20101223,090024,20400,1
MOL,0,20101223,090024,20400,4
MOL,0,20101223,090024,20400,1
MTELEKOM,0,20101223,090024,520,2000
MTELEKOM,0,20101223,090024,520,1500
MTELEKOM,0,20101223,090024,520,175
MTELEKOM,0,20101223,090024,520,166
MTELEKOM,0,20101223,090024,520,300
MTELEKOM,0,20101223,090024,520,1359
MTELEKOM,0,20101223,090024,520,175
MTELEKOM,0,20101223,090024,520,466
MTELEKOM,0,20101223,090024,520,400
MTELEKOM,0,20101223,090024,520,134
MTELEKOM,0,20101223,090024,520,366
MTELEKOM,0,20101223,090024,520,100
MTELEKOM,0,20101223,090024,520,1000
MTELEKOM,0,20101223,090024,520,534
OTP,0,20101223,090024,5265,400
OTP,0,20101223,090024,5265,140
OTP,0,20101223,090024,5265,48
OTP,0,20101223,090024,5265,59
OTP,0,20101223,090024,5265,1
OTP,0,20101223,090024,5265,200
OTP,0,20101223,090024,5265,10
OTP,0,20101223,090024,5265,300
OTP,0,20101223,090024,5265,100
OTP,0,20101223,090024,5265,250
OTP,0,20101223,090024,5265,1786
OTP,0,20101223,090024,5265,400
OTP,0,20101223,090024,5265,2500
OTP,0,20101223,090024,5265,200
PANNERGY,0,20101223,090024,911,45
PHYLAXIA,0,20101223,090024,44,4757
PHYLAXIA,0,20101223,090024,44,2000
RABA,0,20101223,090024,807,4
RICHTER,0,20101223,090024,42495,3
RICHTER,0,20101223,090024,42495,25
RICHTER,0,20101223,090024,42495,1
RICHTER,0,20101223,090024,42495,21
RICHTER,0,20101223,090024,42495,50
RICHTER,0,20101223,090024,42495,29
RICHTER,0,20101223,090024,42495,50
RICHTER,0,20101223,090024,42495,4
RICHTER,0,20101223,090024,42495,13
RICHTER,0,20101223,090024,42495,4
BUX1112,0,20101223,090051,22021,5
BUX1112,0,20101223,090051,22021,5
BUX1112,0,20101223,090051,22021,8
BUX1112,0,20101223,090051,22021,2
BUX1112,0,20101223,090051,22021,1
BUX1112,0,20101223,090051,22021,1
BUX1112,0,20101223,090051,22021,1
BUX1112,0,20101223,090051,22021,1
BUX1112,0,20101223,090051,22021,2
BUX1112,0,20101223,090051,22021,20
BUX1112,0,20101223,090051,22021,1
BUX1112,0,20101223,090051,22021,4
BUX1112,0,20101223,090051,22021,1
BUX1112,0,20101223,090051,22021,4
MOL,0,20101223,090200,20400,9
MOL,0,20101223,090201,20400,7
OTP,0,20101223,090202,5250,5
BOOK,0,20101223,090209,483,158
BOOK,0,20101223,090209,482,92
ECONET,0,20101223,090226,90,1350
ECONET,0,20101223,090226,90,1
ZWACK,0,20101223,090308,13100,10
RICHTER,0,20101223,090330,42490,5
RICHTER,0,20101223,090330,42490,21
RICHTER,0,20101223,090331,42495,20
RICHTER,0,20101223,090331,42495,20
RICHTER,0,20101223,090331,42490,2
OTP,0,20101223,090405,5261,168
BUX1112,0,20101223,090409,22075,4
BUX1112,0,20101223,090409,22079,1
OTP,0,20101223,090501,5259,20
OTP,0,20101223,090516,5259,15
BUX1112,0,20101223,090545,22081,1
MOL,0,20101223,090605,20370,24
OTP,0,20101223,090647,5265,114
OTP,0,20101223,090654,5270,500
MOL,0,20101223,090702,20350,5
RFV,0,20101223,090732,8500,5
RFV,0,20101223,090732,8500,15
MOL,0,20101223,090755,20350,45
MOL,0,20101223,090755,20350,44
MOL,0,20101223,090755,20350,11
MOL,0,20101223,090757,20350,11
MTELEKOM,0,20101223,090806,519,1785
MTELEKOM,0,20101223,090806,519,175
BUX1112,0,20101223,090811,22080,1
