<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1112,0,20101222,090003,21941,2
BUX1112,0,20101222,090003,21941,3
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,3
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,1
BUX1112,0,20101222,090003,21941,1
ECONET,0,20101222,090024,90,4000
ECONET,0,20101222,090024,90,1000
ECONET,0,20101222,090024,90,1500
ECONET,0,20101222,090024,90,1500
FHB,0,20101222,090024,967,50
FHB,0,20101222,090024,967,10
MOL,0,20101222,090024,19900,20
MOL,0,20101222,090024,19900,40
MOL,0,20101222,090024,19900,240
MOL,0,20101222,090024,19900,250
MOL,0,20101222,090024,19900,10
MOL,0,20101222,090024,19900,990
MOL,0,20101222,090024,19900,7
MTELEKOM,0,20101222,090024,518,10000
MTELEKOM,0,20101222,090024,518,3486
MTELEKOM,0,20101222,090024,518,1000
MTELEKOM,0,20101222,090024,518,15000
MTELEKOM,0,20101222,090024,518,120
MTELEKOM,0,20101222,090024,518,500
MTELEKOM,0,20101222,090024,518,150
MTELEKOM,0,20101222,090024,518,1292
MTELEKOM,0,20101222,090024,518,208
MTELEKOM,0,20101222,090024,518,210
MTELEKOM,0,20101222,090024,518,43
MTELEKOM,0,20101222,090024,518,500
MTELEKOM,0,20101222,090024,518,1055
MTELEKOM,0,20101222,090024,518,1000
MTELEKOM,0,20101222,090024,518,11
MTELEKOM,0,20101222,090024,518,500
MTELEKOM,0,20101222,090024,518,120
MTELEKOM,0,20101222,090024,518,30
MTELEKOM,0,20101222,090024,518,87
MTELEKOM,0,20101222,090024,518,150
MTELEKOM,0,20101222,090024,518,1086
MTELEKOM,0,20101222,090024,518,10
MTELEKOM,0,20101222,090024,518,500
MTELEKOM,0,20101222,090024,518,1000
MTELEKOM,0,20101222,090024,518,150
MTELEKOM,0,20101222,090024,518,450
OTP,0,20101222,090024,5200,133
OTP,0,20101222,090024,5200,200
OTP,0,20101222,090024,5200,5667
OTP,0,20101222,090024,5200,333
OTP,0,20101222,090024,5200,52
OTP,0,20101222,090024,5200,185
OTP,0,20101222,090024,5200,148
OTP,0,20101222,090024,5200,1874
OTP,0,20101222,090024,5200,3126
OTP,0,20101222,090024,5200,300
OTP,0,20101222,090024,5200,1000
OTP,0,20101222,090024,5200,760
OTP,0,20101222,090024,5200,25
OTP,0,20101222,090024,5200,20
OTP,0,20101222,090024,5200,25
OTP,0,20101222,090024,5200,200
OTP,0,20101222,090024,5200,2000
OTP,0,20101222,090024,5200,100
OTP,0,20101222,090024,5200,30
OTP,0,20101222,090024,5200,55
OTP,0,20101222,090024,5200,135
OTP,0,20101222,090024,5200,15
OTP,0,20101222,090024,5200,992
OTP,0,20101222,090024,5200,8
OTP,0,20101222,090024,5200,52
OTP,0,20101222,090024,5200,130
OTP,0,20101222,090024,5200,235
OTP,0,20101222,090024,5200,15
OTP,0,20101222,090024,5200,50
RABA,0,20101222,090024,810,250
RABA,0,20101222,090024,810,440
RABA,0,20101222,090024,810,786
RABA,0,20101222,090024,810,9
RABA,0,20101222,090024,810,126
RABA,0,20101222,090024,810,24
RABA,0,20101222,090024,810,46
RFV,0,20101222,090024,8549,19
RFV,0,20101222,090024,8549,20
RFV,0,20101222,090024,8549,10
RFV,0,20101222,090024,8549,1
RICHTER,0,20101222,090024,42000,3
RICHTER,0,20101222,090024,42000,2
RICHTER,0,20101222,090024,42000,1
RICHTER,0,20101222,090024,42000,44
RICHTER,0,20101222,090024,42000,44
RICHTER,0,20101222,090024,42000,50
RICHTER,0,20101222,090024,42000,47
RICHTER,0,20101222,090024,42000,3
RICHTER,0,20101222,090024,42000,30
RICHTER,0,20101222,090024,42000,40
RICHTER,0,20101222,090024,42000,10
RICHTER,0,20101222,090024,42000,67
TVNETWORK,0,20101222,090024,297,200
MTELEKOM,0,20101222,090200,518,170
MTELEKOM,0,20101222,090200,518,130
OTP,0,20101222,090200,5200,18
OTP,0,20101222,090200,5195,12
OTP,0,20101222,090200,5195,400
OTP,0,20101222,090200,5195,150
OTP,0,20101222,090200,5195,38
OTP,0,20101222,090200,5192,392
OTP,0,20101222,090200,5192,300
OTP,0,20101222,090200,5192,105
OTP,0,20101222,090200,5192,80
OTP,0,20101222,090200,5192,40
OTP,0,20101222,090200,5192,55
OTP,0,20101222,090200,5192,93
OTP,0,20101222,090200,5192,1700
MOL,0,20101222,090200,19930,10
MOL,0,20101222,090200,19930,100
MOL,0,20101222,090200,19975,20
MOL,0,20101222,090200,20000,30
MOL,0,20101222,090200,20000,10
MOL,0,20101222,090200,20000,50
MOL,0,20101222,090200,20000,20
MOL,0,20101222,090200,20000,200
OTP,0,20101222,090202,5199,5
OTP,0,20101222,090202,5200,75
BUX1112,0,20101222,090203,21941,5
BUX1112,0,20101222,090203,21950,1
OTP,0,20101222,090203,5200,120
MOL,0,20101222,090205,20000,60
EBGOLD,0,20101222,090205,3019,20
RABA,0,20101222,090208,810,77
MOL,0,20101222,090209,19990,67
BUX1112,0,20101222,090209,21951,4
OTP,0,20101222,090216,5192,200
