<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
EGIS,0,20101207,090033,18455,10
EGIS,0,20101207,090033,18455,1
EMASZ,0,20101207,090033,21290,3
FHB,0,20101207,090033,960,150
KEG,0,20101207,090033,157,1700
KEG,0,20101207,090033,157,300
MOL,0,20101207,090033,19800,3
MOL,0,20101207,090033,19800,5
MOL,0,20101207,090033,19800,55
MOL,0,20101207,090033,19800,100
MOL,0,20101207,090033,19800,5
MOL,0,20101207,090033,19800,25
MOL,0,20101207,090033,19800,6
MOL,0,20101207,090033,19800,50
MOL,0,20101207,090033,19800,5
MOL,0,20101207,090033,19800,3
MOL,0,20101207,090033,19800,65
MOL,0,20101207,090033,19800,1
MOL,0,20101207,090033,19800,100
MOL,0,20101207,090033,19800,10
MOL,0,20101207,090033,19800,8
MOL,0,20101207,090033,19800,5
MTELEKOM,0,20101207,090033,537,20
MTELEKOM,0,20101207,090033,537,12
MTELEKOM,0,20101207,090033,537,300
MTELEKOM,0,20101207,090033,537,120
MTELEKOM,0,20101207,090033,537,568
ORC,0,20101207,090033,2070,1
OTP,0,20101207,090033,5230,11
OTP,0,20101207,090033,5230,186
OTP,0,20101207,090033,5230,50
OTP,0,20101207,090033,5230,664
OTP,0,20101207,090033,5230,233
OTP,0,20101207,090033,5230,48
OTP,0,20101207,090033,5230,20
OTP,0,20101207,090033,5230,10
OTP,0,20101207,090033,5230,18
OTP,0,20101207,090033,5230,5
OTP,0,20101207,090033,5230,666
OTP,0,20101207,090033,5230,334
OTP,0,20101207,090033,5230,666
OTP,0,20101207,090033,5230,134
OTP,0,20101207,090033,5230,500
OTP,0,20101207,090033,5230,366
OTP,0,20101207,090033,5230,1000
OTP,0,20101207,090033,5230,1634
OTP,0,20101207,090033,5230,2000
OTP,0,20101207,090033,5230,1366
OTP,0,20101207,090033,5230,250
OTP,0,20101207,090033,5230,400
OTP,0,20101207,090033,5230,1250
OTP,0,20101207,090033,5230,100
OTP,0,20101207,090033,5230,200
OTP,0,20101207,090033,5230,250
OTP,0,20101207,090033,5230,440
OTP,0,20101207,090033,5230,10
PANNERGY,0,20101207,090033,857,100
RABA,0,20101207,090033,815,100
RABA,0,20101207,090033,815,130
RICHTER,0,20101207,090033,42600,2
RICHTER,0,20101207,090033,42600,3
RICHTER,0,20101207,090033,42600,5
RICHTER,0,20101207,090033,42600,20
RICHTER,0,20101207,090033,42600,1
RICHTER,0,20101207,090033,42600,4
RICHTER,0,20101207,090033,42600,35
RICHTER,0,20101207,090033,42600,10
RICHTER,0,20101207,090033,42600,10
RICHTER,0,20101207,090033,42600,2
RICHTER,0,20101207,090033,42600,10
RICHTER,0,20101207,090033,42600,1
RICHTER,0,20101207,090033,42600,37
RICHTER,0,20101207,090033,42600,7
ZWACK,0,20101207,090033,15000,20
ZWACK,0,20101207,090033,15000,35
ZWACK,0,20101207,090033,15000,8
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,5
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,2
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,6
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,5
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,1
BUX1012,0,20101207,090052,21300,2
BUX1012,0,20101207,090052,21300,5
BUX1012,0,20101207,090052,21300,2
BUX1012,0,20101207,090052,21300,2
BUX1012,0,20101207,090052,21300,3
OTP,0,20101207,090200,5238,40
OTP,0,20101207,090200,5238,1000
OTP,0,20101207,090200,5239,67
OTP,0,20101207,090200,5240,200
OTP,0,20101207,090200,5240,1000
MOL,0,20101207,090203,19820,20
OTP,0,20101207,090204,5241,100
MTELEKOM,0,20101207,090205,536,16
OTP,0,20101207,090207,5248,60
OTP,0,20101207,090207,5248,5000
OTP,0,20101207,090207,5250,9
OTP,0,20101207,090207,5250,200
OTP,0,20101207,090207,5250,300
OTP,0,20101207,090207,5250,150
OTP,0,20101207,090207,5250,500
OTP,0,20101207,090207,5250,300
OTP,0,20101207,090207,5250,156
OTP,0,20101207,090207,5250,20
OTP,0,20101207,090207,5250,100
OTP,0,20101207,090207,5250,166
OTP,0,20101207,090207,5250,70
OTP,0,20101207,090207,5250,320
OTP,0,20101207,090207,5250,56
OTP,0,20101207,090207,5250,40
OTP,0,20101207,090207,5250,20
OTP,0,20101207,090207,5250,20
OTP,0,20101207,090207,5250,65
OTP,0,20101207,090207,5250,2000
OTP,0,20101207,090209,5250,30
OTP,0,20101207,090209,5250,250
BUX1012,0,20101207,090210,21310,1
RICHTER,0,20101207,090212,42895,4
OTP,0,20101207,090212,5252,200
OTP,0,20101207,090214,5250,100
OTP,0,20101207,090216,5250,68
OTP,0,20101207,090216,5250,100
