<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
EGIS,0,20101228,090019,20350,30
EGIS,0,20101228,090019,20350,20
EGIS,0,20101228,090019,20350,40
EGIS,0,20101228,090019,20350,4
FHB,0,20101228,090019,976,20
FHB,0,20101228,090019,976,100
FHB,0,20101228,090019,976,100
GENESIS,0,20101228,090019,183,300
GENESIS,0,20101228,090019,183,60
HUMET,0,20101228,090019,9,20000
HUMET,0,20101228,090019,9,4400
MOL,0,20101228,090019,20445,1
MTELEKOM,0,20101228,090019,515,1700
MTELEKOM,0,20101228,090019,515,2
MTELEKOM,0,20101228,090019,515,98
MTELEKOM,0,20101228,090019,515,650
MTELEKOM,0,20101228,090019,515,752
MTELEKOM,0,20101228,090019,515,208
MTELEKOM,0,20101228,090019,515,5000
OTP,0,20101228,090019,5170,924
OTP,0,20101228,090019,5170,50
OTP,0,20101228,090019,5170,300
OTP,0,20101228,090019,5170,500
OTP,0,20101228,090019,5170,200
OTP,0,20101228,090019,5170,75
OTP,0,20101228,090019,5170,75
OTP,0,20101228,090019,5170,1666
OTP,0,20101228,090019,5170,50
OTP,0,20101228,090019,5170,62
OTP,0,20101228,090019,5170,20
OTP,0,20101228,090019,5170,46
PANNERGY,0,20101228,090019,896,2000
PHYLAXIA,0,20101228,090019,44,8500
PHYLAXIA,0,20101228,090019,44,8750
RFV,0,20101228,090019,8550,11
RFV,0,20101228,090019,8550,15
BUX1112,0,20101228,090050,21950,1
BUX1112,0,20101228,090050,21950,1
BUX1112,0,20101228,090050,21950,1
BUX1112,0,20101228,090050,21950,1
BUX1112,0,20101228,090050,21950,1
MTELEKOM,0,20101228,090200,515,1000
MTELEKOM,0,20101228,090205,515,300
MTELEKOM,0,20101228,090213,515,100
OTP,0,20101228,090220,5175,390
RICHTER,0,20101228,090234,42990,1
OTP,0,20101228,090256,5176,50
OTP,0,20101228,090256,5175,20
OTP,0,20101228,090303,5184,24
OTP,0,20101228,090305,5184,1
OTP,0,20101228,090305,5187,38
OTP,0,20101228,090305,5189,200
OTP,0,20101228,090305,5190,137
OTP,0,20101228,090305,5190,100
OTP,0,20101228,090305,5198,30
OTP,0,20101228,090305,5199,279
OTP,0,20101228,090305,5181,3
OTP,0,20101228,090305,5175,743
MTELEKOM,0,20101228,090309,516,110
OTP,0,20101228,090327,5199,21
OTP,0,20101228,090327,5199,500
OTP,0,20101228,090327,5200,9
OTP,0,20101228,090327,5200,1
OTP,0,20101228,090327,5200,30
OTP,0,20101228,090327,5200,160
