<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1012,0,20101215,090053,21267,1
BUX1012,0,20101215,090053,21267,2
BUX1012,0,20101215,090053,21267,8
BUX1012,0,20101215,090053,21267,3
BUX1012,0,20101215,090053,21267,4
BUX1012,0,20101215,090053,21267,3
BUX1012,0,20101215,090053,21267,5
BUX1012,0,20101215,090053,21267,13
BUX1112,0,20101215,090053,21901,1
BUX1112,0,20101215,090053,21901,1
BUX1112,0,20101215,090053,21901,1
EGIS,0,20101215,090055,20000,20
EGIS,0,20101215,090055,20000,30
EGIS,0,20101215,090055,20000,10
EGIS,0,20101215,090055,20000,5
EGIS,0,20101215,090055,20000,15
EGIS,0,20101215,090055,20000,30
EGIS,0,20101215,090055,20000,3
EGIS,0,20101215,090055,20000,5
EGIS,0,20101215,090055,20000,2
EGIS,0,20101215,090055,20000,16
EGIS,0,20101215,090055,20000,10
GENESIS,0,20101215,090055,211,20
GENESIS,0,20101215,090055,211,725
GENESIS,0,20101215,090055,211,100
GENESIS,0,20101215,090055,211,200
GENESIS,0,20101215,090055,211,5
HUMET,0,20101215,090055,10,100
MOL,0,20101215,090055,19595,15
MOL,0,20101215,090055,19595,23
MOL,0,20101215,090055,19595,50
MOL,0,20101215,090055,19595,12
MOL,0,20101215,090055,19595,100
MOL,0,20101215,090055,19595,22
MTELEKOM,0,20101215,090055,520,421
MTELEKOM,0,20101215,090055,520,167
MTELEKOM,0,20101215,090055,520,100
MTELEKOM,0,20101215,090055,520,1378
MTELEKOM,0,20101215,090055,520,320
MTELEKOM,0,20101215,090055,520,3892
MTELEKOM,0,20101215,090055,520,108
MTELEKOM,0,20101215,090055,520,192
MTELEKOM,0,20101215,090055,520,150
MTELEKOM,0,20101215,090055,520,165
MTELEKOM,0,20101215,090055,520,293
MTELEKOM,0,20101215,090055,520,120
MTELEKOM,0,20101215,090055,520,120
MTELEKOM,0,20101215,090055,520,200
MTELEKOM,0,20101215,090055,520,267
MTELEKOM,0,20101215,090055,520,200
MTELEKOM,0,20101215,090055,520,533
MTELEKOM,0,20101215,090055,520,20
MTELEKOM,0,20101215,090055,520,447
MTELEKOM,0,20101215,090055,520,500
MTELEKOM,0,20101215,090055,520,100
MTELEKOM,0,20101215,090055,520,1000
MTELEKOM,0,20101215,090055,520,1803
MTELEKOM,0,20101215,090055,520,200
OTP,0,20101215,090055,5250,10
OTP,0,20101215,090055,5250,45
OTP,0,20101215,090055,5250,45
OTP,0,20101215,090055,5250,5
OTP,0,20101215,090055,5250,20
OTP,0,20101215,090055,5250,5
OTP,0,20101215,090055,5250,425
OTP,0,20101215,090055,5250,25
OTP,0,20101215,090055,5250,39
OTP,0,20101215,090055,5250,10
OTP,0,20101215,090055,5250,20
OTP,0,20101215,090055,5250,141
PANNERGY,0,20101215,090055,852,1000
PANNERGY,0,20101215,090055,852,800
PANNERGY,0,20101215,090055,852,300
PANNERGY,0,20101215,090055,852,100
PHYLAXIA,0,20101215,090055,44,1277
RABA,0,20101215,090055,800,100
RABA,0,20101215,090055,800,200
RABA,0,20101215,090055,800,657
RABA,0,20101215,090055,800,1000
RABA,0,20101215,090055,800,100
RABA,0,20101215,090055,800,143
RICHTER,0,20101215,090055,43290,20
RICHTER,0,20101215,090055,43290,3
RICHTER,0,20101215,090055,43290,27
RICHTER,0,20101215,090055,43290,20
RICHTER,0,20101215,090055,43290,25
RICHTER,0,20101215,090055,43290,10
RICHTER,0,20101215,090055,43290,18
RICHTER,0,20101215,090055,43290,12
RICHTER,0,20101215,090055,43290,25
RICHTER,0,20101215,090055,43290,63
RICHTER,0,20101215,090055,43290,13
BUX1012,0,20101215,090200,21267,2
BUX1012,0,20101215,090200,21266.5,2
BUX1012,0,20101215,090200,21266,1
OTP,0,20101215,090201,5250,76
OTP,0,20101215,090201,5250,224
BUX1012,0,20101215,090204,21266,5
OTP,0,20101215,090205,5254,58
GENESIS,0,20101215,090210,219,20
BUX1012,0,20101215,090213,21289,2
OTP,0,20101215,090215,5250,76
BUX1012,0,20101215,090234,21271,3
BUX1012,0,20101215,090243,21289,1
EGIS,0,20101215,090245,20000,6
OTP,0,20101215,090252,5245,4
OTP,0,20101215,090252,5243,244
OTP,0,20101215,090252,5241,50
OTP,0,20101215,090252,5240,5
BUX1012,0,20101215,090255,21298,1
MTELEKOM,0,20101215,090300,518,1000
MTELEKOM,0,20101215,090300,518,100
MTELEKOM,0,20101215,090300,518,358
MTELEKOM,0,20101215,090308,518,4642
MTELEKOM,0,20101215,090308,518,1713
BUX1012,0,20101215,090311,21290.5,6
BUX1012,0,20101215,090311,21290,1
BUX1012,0,20101215,090311,21273,3
BUX1012,0,20101215,090311,21272.5,1
BUX1012,0,20101215,090311,21272.5,10
ECONET,0,20101215,090331,92,1000
BUX1012,0,20101215,090341,21350,18
BUX1112,0,20101215,090341,21940,18
RCBRENTOIL,0,20101215,090349,902,10
OTP,0,20101215,090350,5239,50
OTP,0,20101215,090350,5238,20
OTP,0,20101215,090350,5233,30
OTP,0,20101215,090358,5233,87
MTELEKOM,0,20101215,090401,517,49
MTELEKOM,0,20101215,090401,517,559
MTELEKOM,0,20101215,090401,517,125
MTELEKOM,0,20101215,090401,517,100
MTELEKOM,0,20101215,090401,517,626
OTP,0,20101215,090405,5230,1
MTELEKOM,0,20101215,090413,518,400
KARPOT,0,20101215,090418,499,100
KARPOT,0,20101215,090418,500,5
OTP,0,20101215,090423,5237,600
MTELEKOM,0,20101215,090424,517,100
OTP,0,20101215,090428,5236,100
MTELEKOM,0,20101215,090430,517,1000
MTELEKOM,0,20101215,090431,517,1274
MTELEKOM,0,20101215,090431,517,2000
MTELEKOM,0,20101215,090431,517,150
MTELEKOM,0,20101215,090431,517,210
MOL,0,20101215,090434,19575,84
MTELEKOM,0,20101215,090444,516,200
MTELEKOM,0,20101215,090444,516,2000
MTELEKOM,0,20101215,090444,516,333
MTELEKOM,0,20101215,090444,516,1000
MTELEKOM,0,20101215,090444,516,467
MTELEKOM,0,20101215,090447,517,1000
OTP,0,20101215,090454,5237,200
BUX1012,0,20101215,090458,21299,1
BUX1012,0,20101215,090458,21299,1
MTELEKOM,0,20101215,090502,516,1458
BUX1012,0,20101215,090508,21298.5,2
MTELEKOM,0,20101215,090512,517,500
MTELEKOM,0,20101215,090517,517,1400
MTELEKOM,0,20101215,090518,517,200
MTELEKOM,0,20101215,090531,517,100
OTP,0,20101215,090536,5244,100
MTELEKOM,0,20101215,090549,517,239
MTELEKOM,0,20101215,090549,517,2500
MTELEKOM,0,20101215,090549,517,1458
MTELEKOM,0,20101215,090549,517,1000
MTELEKOM,0,20101215,090549,517,803
MTELEKOM,0,20101215,090549,517,1000
BUX1112,0,20101215,090554,21890,1
BUX1112,0,20101215,090554,21900,2
MTELEKOM,0,20101215,090557,517,197
MTELEKOM,0,20101215,090557,517,303
RICHTER,0,20101215,090559,43285,80
MOL,0,20101215,090600,19555,30
MTELEKOM,0,20101215,090600,517,297
MTELEKOM,0,20101215,090600,517,1600
BUX1012,0,20101215,090615,21281.5,3
BUX1012,0,20101215,090615,21281,4
BUX1012,0,20101215,090615,21280,1
BUX1012,0,20101215,090615,21275.5,2
OTP,0,20101215,090620,5243,50
OTP,0,20101215,090620,5243,15
OTP,0,20101215,090620,5244,30
OTP,0,20101215,090620,5245,200
OTP,0,20101215,090620,5247,705
BUX1112,0,20101215,090621,21920,1
MTELEKOM,0,20101215,090629,517,2000
MTELEKOM,0,20101215,090629,517,355
MTELEKOM,0,20101215,090629,517,1645
OTP,0,20101215,090629,5240,4
ECONET,0,20101215,090631,92,1000
MTELEKOM,0,20101215,090645,518,1000
MTELEKOM,0,20101215,090649,518,459
BUX1112,0,20101215,090651,21900.5,4
BUX1112,0,20101215,090657,21920,5
OTP,0,20101215,090707,5247,95
OTP,0,20101215,090707,5247,200
OTP,0,20101215,090720,5249,59
OTP,0,20101215,090720,5249,450
OTP,0,20101215,090720,5249,100
OTP,0,20101215,090720,5250,24
OTP,0,20101215,090720,5250,200
OTP,0,20101215,090720,5250,167
OTP,0,20101215,090720,5250,20
BUX1012,0,20101215,090725,21296.5,10
OTP,0,20101215,090738,5249,100
OTP,0,20101215,090738,5250,100
OTP,0,20101215,090739,5241,1
MTELEKOM,0,20101215,090751,519,1734
MTELEKOM,0,20101215,090800,519,3266
MTELEKOM,0,20101215,090800,519,1458
MTELEKOM,0,20101215,090800,520,126
MOL,0,20101215,090804,19645,50
MTELEKOM,0,20101215,090805,518,541
MTELEKOM,0,20101215,090805,518,459
MOL,0,20101215,090811,19645,50
OTP,0,20101215,090815,5243,80
OTP,0,20101215,090815,5242,186
OTP,0,20101215,090815,5242,96
OTP,0,20101215,090815,5242,100
OTP,0,20101215,090815,5241,9
OTP,0,20101215,090815,5241,29
BUX1012,0,20101215,090820,21297.5,2
OTP,0,20101215,090823,5246,10
BUX1012,0,20101215,090829,21280,7
MTELEKOM,0,20101215,090831,519,1000
OTP,0,20101215,090835,5241,30
BUX1012,0,20101215,090835,21298,1
OTP,0,20101215,090837,5241,500
MTELEKOM,0,20101215,090840,519,458
MTELEKOM,0,20101215,090840,519,542
MTELEKOM,0,20101215,090847,519,1000
SYNERGON,0,20101215,090849,492,172
SYNERGON,0,20101215,090849,491,28
OTP,0,20101215,090849,5241,37
OTP,0,20101215,090849,5240,263
OTP,0,20101215,090854,5240,237
OTP,0,20101215,090854,5240,1000
OTP,0,20101215,090854,5240,13
OTP,0,20101215,090854,5240,200
MTELEKOM,0,20101215,090854,519,958
MTELEKOM,0,20101215,090854,519,1042
MTELEKOM,0,20101215,090856,519,1000
PHYLAXIA,0,20101215,090902,44,23
PHYLAXIA,0,20101215,090902,44,2
BUX1012,0,20101215,090906,21298,4
OTP,0,20101215,090909,5240,5
BUX1012,0,20101215,090909,21298,1
MTELEKOM,0,20101215,090914,518,3
BUX1012,0,20101215,090914,21298.5,3
