<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
ANY,0,20101214,090002,741,10
ANY,0,20101214,090002,741,290
ECONET,0,20101214,090002,94,1000
ECONET,0,20101214,090002,94,250
ECONET,0,20101214,090002,94,100
EGIS,0,20101214,090002,20375,40
EGIS,0,20101214,090002,20375,68
MOL,0,20101214,090002,19600,24
MOL,0,20101214,090002,19600,2
MOL,0,20101214,090002,19600,2
MOL,0,20101214,090002,19600,10
MOL,0,20101214,090002,19600,100
MOL,0,20101214,090002,19600,30
MOL,0,20101214,090002,19600,20
MTELEKOM,0,20101214,090002,529,75
MTELEKOM,0,20101214,090002,529,100
MTELEKOM,0,20101214,090002,529,55
MTELEKOM,0,20101214,090002,529,70
MTELEKOM,0,20101214,090002,529,795
MTELEKOM,0,20101214,090002,529,1000
MTELEKOM,0,20101214,090002,529,405
MTELEKOM,0,20101214,090002,529,280
MTELEKOM,0,20101214,090002,529,200
MTELEKOM,0,20101214,090002,529,615
MTELEKOM,0,20101214,090002,529,2500
MTELEKOM,0,20101214,090002,529,885
MTELEKOM,0,20101214,090002,529,330
MTELEKOM,0,20101214,090002,529,785
MTELEKOM,0,20101214,090002,529,1000
MTELEKOM,0,20101214,090002,529,215
MTELEKOM,0,20101214,090002,529,200
MTELEKOM,0,20101214,090002,529,585
MTELEKOM,0,20101214,090002,529,1000
MTELEKOM,0,20101214,090002,529,415
MTELEKOM,0,20101214,090002,529,10
MTELEKOM,0,20101214,090002,529,200
MTELEKOM,0,20101214,090002,529,4375
MTELEKOM,0,20101214,090002,529,100
MTELEKOM,0,20101214,090002,529,200
MTELEKOM,0,20101214,090002,529,25
ORC,0,20101214,090002,2045,19
OTP,0,20101214,090002,5300,71
OTP,0,20101214,090002,5300,110
OTP,0,20101214,090002,5300,60
OTP,0,20101214,090002,5300,320
OTP,0,20101214,090002,5300,570
OTP,0,20101214,090002,5300,50
OTP,0,20101214,090002,5300,100
OTP,0,20101214,090002,5300,200
OTP,0,20101214,090002,5300,175
OTP,0,20101214,090002,5300,500
OTP,0,20101214,090002,5300,8
OTP,0,20101214,090002,5300,33
OTP,0,20101214,090002,5300,100
OTP,0,20101214,090002,5300,20
OTP,0,20101214,090002,5300,991
OTP,0,20101214,090002,5300,307
OTP,0,20101214,090002,5300,41
OTP,0,20101214,090002,5300,500
OTP,0,20101214,090002,5300,166
OTP,0,20101214,090002,5300,150
OTP,0,20101214,090002,5300,1000
PANNERGY,0,20101214,090002,860,70
PANNERGY,0,20101214,090002,860,100
PANNERGY,0,20101214,090002,860,110
PANNERGY,0,20101214,090002,860,22
PANNERGY,0,20101214,090002,860,4
RABA,0,20101214,090002,812,30
RABA,0,20101214,090002,812,47
RICHTER,0,20101214,090002,42900,4
RICHTER,0,20101214,090002,42900,7
RICHTER,0,20101214,090002,42900,20
RICHTER,0,20101214,090002,42900,73
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,2
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,1
BUX1012,0,20101214,090003,21555,18
BUX1012,0,20101214,090003,21555,2
BUX1012,0,20101214,090003,21555,1
BUX1112,0,20101214,090003,22051,4
MOL,0,20101214,090200,19600,12
OTP,0,20101214,090202,5295,15
OTP,0,20101214,090202,5295,485
FHB,0,20101214,090204,988,20
OTP,0,20101214,090205,5295,50
RICHTER,0,20101214,090206,42990,9
MTELEKOM,0,20101214,090208,529,400
PHYLAXIA,0,20101214,090209,45,100
MTELEKOM,0,20101214,090209,528,1600
MTELEKOM,0,20101214,090209,528,2000
MTELEKOM,0,20101214,090209,528,100
OTP,0,20101214,090209,5295,120
OTP,0,20101214,090210,5300,68
OTP,0,20101214,090211,5299,30
OTP,0,20101214,090212,5295,200
ECONET,0,20101214,090215,94,650
ECONET,0,20101214,090215,94,1369
OTP,0,20101214,090218,5295,145
OTP,0,20101214,090218,5295,55
OTP,0,20101214,090220,5295,30
OTP,0,20101214,090222,5295,50
OTP,0,20101214,090222,5295,26
MTELEKOM,0,20101214,090223,528,1544
MTELEKOM,0,20101214,090223,528,100
OTP,0,20101214,090224,5295,60
OTP,0,20101214,090226,5295,5
OTP,0,20101214,090227,5295,290
MTELEKOM,0,20101214,090238,527,2000
MTELEKOM,0,20101214,090238,527,100
MTELEKOM,0,20101214,090239,528,1644
MTELEKOM,0,20101214,090239,528,100
MTELEKOM,0,20101214,090239,528,1000
MTELEKOM,0,20101214,090239,528,1000
MTELEKOM,0,20101214,090239,528,5000
MTELEKOM,0,20101214,090239,528,1886
MTELEKOM,0,20101214,090239,528,2459
MTELEKOM,0,20101214,090239,529,2575
MTELEKOM,0,20101214,090239,529,4336
OTP,0,20101214,090248,5290,50
OTP,0,20101214,090249,5290,150
ZWACK,0,20101214,090253,14000,5
OTP,0,20101214,090254,5290,100
MOL,0,20101214,090255,19600,5
ECONET,0,20101214,090304,94,1000
RICHTER,0,20101214,090308,42990,12
RICHTER,0,20101214,090308,42990,16
EGIS,0,20101214,090315,20300,5
MTELEKOM,0,20101214,090316,527,500
BUX1112,0,20101214,090325,22097,1
RICHTER,0,20101214,090329,43000,20
OTP,0,20101214,090330,5289,300
OTP,0,20101214,090330,5290,300
OTP,0,20101214,090330,5290,364
OTP,0,20101214,090330,5290,156
OTP,0,20101214,090330,5290,200
OTP,0,20101214,090330,5290,200
OTP,0,20101214,090330,5290,100
OTP,0,20101214,090330,5290,25
OTP,0,20101214,090330,5290,7
OTP,0,20101214,090333,5290,88
MTELEKOM,0,20101214,090336,528,100
OTP,0,20101214,090345,5290,260
OTP,0,20101214,090345,5290,40
MTELEKOM,0,20101214,090346,528,130
PHYLAXIA,0,20101214,090353,44,1111
BUX1012,0,20101214,090412,21481,1
BUX1012,0,20101214,090412,21480,1
BUX1012,0,20101214,090412,21470,2
RICHTER,0,20101214,090415,43000,27
OTP,0,20101214,090420,5290,10
OTP,0,20101214,090420,5290,11
RICHTER,0,20101214,090426,43000,3
RICHTER,0,20101214,090426,43140,5
RICHTER,0,20101214,090426,43145,20
RICHTER,0,20101214,090426,43150,42
OTP,0,20101214,090429,5294,148
BUX1012,0,20101214,090431,21470,1
OTP,0,20101214,090436,5290,270
OTP,0,20101214,090445,5294,52
OTP,0,20101214,090445,5295,10
OTP,0,20101214,090445,5295,573
OTP,0,20101214,090445,5295,20
OTP,0,20101214,090445,5295,100
OTP,0,20101214,090445,5295,200
OTP,0,20101214,090445,5295,45
OTP,0,20101214,090453,5295,355
OTP,0,20101214,090456,5299,100
OTP,0,20101214,090456,5299,100
OTP,0,20101214,090456,5299,500
OTP,0,20101214,090456,5300,1800
OTP,0,20101214,090500,5300,1252
OTP,0,20101214,090500,5300,920
OTP,0,20101214,090500,5300,100
OTP,0,20101214,090500,5300,550
OTP,0,20101214,090500,5300,10
OTP,0,20101214,090500,5300,14
OTP,0,20101214,090500,5300,154
OTP,0,20101214,090502,5300,96
OTP,0,20101214,090502,5300,20
OTP,0,20101214,090502,5300,100
OTP,0,20101214,090502,5300,250
OTP,0,20101214,090502,5300,34
MTELEKOM,0,20101214,090504,527,500
BUX1112,0,20101214,090506,22148,1
OTP,0,20101214,090508,5300,600
RABA,0,20101214,090510,811,100
MTELEKOM,0,20101214,090512,528,2770
MTELEKOM,0,20101214,090512,528,3230
MTELEKOM,0,20101214,090517,528,770
MTELEKOM,0,20101214,090517,528,4230
OTP,0,20101214,090518,5295,50
BUX1012,0,20101214,090529,21460,1
BUX1012,0,20101214,090529,21456,4
MTELEKOM,0,20101214,090547,528,200
OTP,0,20101214,090548,5297,15
OTP,0,20101214,090558,5297,30
MTELEKOM,0,20101214,090600,528,110
OTP,0,20101214,090617,5299,50
OTP,0,20101214,090617,5299,20
OTP,0,20101214,090617,5299,179
OTP,0,20101214,090617,5299,775
OTP,0,20101214,090619,5297,200
MOL,0,20101214,090621,19500,5
OTP,0,20101214,090631,5300,366
OTP,0,20101214,090631,5300,234
OTP,0,20101214,090639,5300,66
OTP,0,20101214,090639,5300,11
MTELEKOM,0,20101214,090639,527,72
MOL,0,20101214,090640,19500,1
BUX1012,0,20101214,090644,21461,1
BUX1012,0,20101214,090644,21460,4
BUX1112,0,20101214,090654,22119,5
OTP,0,20101214,090654,5300,20
OTP,0,20101214,090700,5300,969
OTP,0,20101214,090700,5300,31
OTP,0,20101214,090707,5300,169
OTP,0,20101214,090707,5300,20
OTP,0,20101214,090707,5300,50
MTELEKOM,0,20101214,090715,527,200
OTP,0,20101214,090717,5300,20
PANNERGY,0,20101214,090723,860,26
OTP,0,20101214,090733,5304,200
OTP,0,20101214,090749,5305,13
OTP,0,20101214,090749,5305,79
OTP,0,20101214,090749,5309,100
OTP,0,20101214,090749,5310,8
MTELEKOM,0,20101214,090754,527,2110
MOL,0,20101214,090800,19550,1
BUX1012,0,20101214,090805,21461.5,1
MTELEKOM,0,20101214,090820,527,300
MOL,0,20101214,090826,19550,84
MOL,0,20101214,090826,19550,47
MOL,0,20101214,090827,19550,15
BUX1012,0,20101214,090836,21479,2
MOL,0,20101214,090836,19600,3
MOL,0,20101214,090836,19600,9
OTP,0,20101214,090837,5308,50
OTP,0,20101214,090837,5309,31
OTP,0,20101214,090837,5309,19
BUX1012,0,20101214,090840,21462,1
OTP,0,20101214,090842,5309,181
OTP,0,20101214,090842,5310,192
OTP,0,20101214,090842,5310,1000
OTP,0,20101214,090842,5310,627
MOL,0,20101214,090843,19600,50
BUX1012,0,20101214,090856,21479,2
RFV,0,20101214,090901,8002,24
RFV,0,20101214,090901,8001,24
RFV,0,20101214,090901,8000,12
RCGOLD,0,20101214,090912,29000,17
RICHTER,0,20101214,090916,43100,5
RICHTER,0,20101214,090916,43100,19
RICHTER,0,20101214,090916,43100,21
OTP,0,20101214,090916,5304,20
BUX1012,0,20101214,090917,21463,4
BUX1012,0,20101214,090917,21462.5,1
MTELEKOM,0,20101214,090921,528,460
MTELEKOM,0,20101214,090921,528,500
MTELEKOM,0,20101214,090921,528,40
MTELEKOM,0,20101214,090923,528,400
OTP,0,20101214,090949,5305,40
OTP,0,20101214,090954,5305,50
OTP,0,20101214,090955,5305,10
OTP,0,20101214,091007,5305,207
OTP,0,20101214,091007,5305,43
OTP,0,20101214,091008,5305,24
MTELEKOM,0,20101214,091011,528,1000
OTP,0,20101214,091019,5305,250
OTP,0,20101214,091019,5305,52
MTELEKOM,0,20101214,091026,528,300
OTP,0,20101214,091030,5305,10
RICHTER,0,20101214,091032,43100,19
OTP,0,20101214,091034,5305,688
OTP,0,20101214,091034,5305,191
OTP,0,20101214,091034,5306,200
MOL,0,20101214,091036,19600,10
MOL,0,20101214,091037,19555,20
MOL,0,20101214,091037,19550,31
RICHTER,0,20101214,091038,43100,36
MTELEKOM,0,20101214,091042,528,400
OTP,0,20101214,091042,5306,60
ECONET,0,20101214,091053,94,1881
ECONET,0,20101214,091053,94,3000
OTP,0,20101214,091054,5306,25
OTP,0,20101214,091054,5309,111
OTP,0,20101214,091102,5306,336
MTELEKOM,0,20101214,091104,528,860
MTELEKOM,0,20101214,091104,528,140
MTELEKOM,0,20101214,091106,528,60
MTELEKOM,0,20101214,091106,528,200
MTELEKOM,0,20101214,091107,528,240
GENESIS,0,20101214,091110,223,470
MTELEKOM,0,20101214,091122,529,664
MTELEKOM,0,20101214,091122,529,2136
OTP,0,20101214,091206,5305,400
MTELEKOM,0,20101214,091208,529,5864
MTELEKOM,0,20101214,091208,529,5000
MTELEKOM,0,20101214,091208,529,703
KARPOT,0,20101214,091216,460,1000
KARPOT,0,20101214,091216,500,200
MTELEKOM,0,20101214,091224,528,49
MTELEKOM,0,20101214,091228,529,4297
MTELEKOM,0,20101214,091228,529,4703
OTP,0,20101214,091233,5305,264
MTELEKOM,0,20101214,091233,529,297
MTELEKOM,0,20101214,091233,529,500
OTP,0,20101214,091235,5305,236
MTELEKOM,0,20101214,091236,529,203
MOL,0,20101214,091246,19575,12
MOL,0,20101214,091246,19575,1
MTELEKOM,0,20101214,091310,529,200
OTP,0,20101214,091311,5301,250
OTP,0,20101214,091311,5301,300
OTP,0,20101214,091311,5300,80
OTP,0,20101214,091311,5300,40
MTELEKOM,0,20101214,091314,529,500
OTP,0,20101214,091320,5295,20
PHYLAXIA,0,20101214,091321,44,1095
PHYLAXIA,0,20101214,091321,44,905
MTELEKOM,0,20101214,091325,529,4097
MTELEKOM,0,20101214,091325,529,903
ZWACK,0,20101214,091339,14000,3
BUX1112,0,20101214,091339,22114,1
OTP,0,20101214,091344,5295,100
BUX1012,0,20101214,091344,21495,1
OTP,0,20101214,091351,5296,75
MTELEKOM,0,20101214,091352,529,97
MTELEKOM,0,20101214,091352,529,300
MTELEKOM,0,20101214,091352,529,1421
MOL,0,20101214,091403,19550,17
OTP,0,20101214,091407,5300,94
OTP,0,20101214,091420,5300,192
MTELEKOM,0,20101214,091434,529,4579
MTELEKOM,0,20101214,091434,529,1421
OTP,0,20101214,091437,5300,61
OTP,0,20101214,091437,5296,425
OTP,0,20101214,091437,5295,475
OTP,0,20101214,091437,5291,39
BUX1012,0,20101214,091442,21480,15
MTELEKOM,0,20101214,091448,529,477
MTELEKOM,0,20101214,091448,529,653
BUX1012,0,20101214,091501,21481,2
BUX1012,0,20101214,091501,21480,3
RICHTER,0,20101214,091508,43005,7
BUX1012,0,20101214,091510,21480,7
BUX1012,0,20101214,091510,21470,1
BUX1012,0,20101214,091511,21470,19
OTP,0,20101214,091512,5291,130
ECONET,0,20101214,091512,93,1000
BUX1012,0,20101214,091515,21470,8
RICHTER,0,20101214,091522,43000,26
RICHTER,0,20101214,091522,43000,1
RICHTER,0,20101214,091522,43000,23
RICHTER,0,20101214,091533,43000,22
RICHTER,0,20101214,091533,43000,10
RICHTER,0,20101214,091533,43000,18
OTP,0,20101214,091536,5291,200
RICHTER,0,20101214,091551,43000,2
MTELEKOM,0,20101214,091601,528,951
MTELEKOM,0,20101214,091601,528,1049
RICHTER,0,20101214,091604,42975,9
BUX1112,0,20101214,091607,22080,1
BUX1112,0,20101214,091607,22080,1
MTELEKOM,0,20101214,091619,528,100
RABA,0,20101214,091622,809,100
RICHTER,0,20101214,091627,42975,1
RICHTER,0,20101214,091627,42975,1
RICHTER,0,20101214,091627,42970,8
BUX1012,0,20101214,091628,21465,1
BUX1012,0,20101214,091628,21451,5
BUX1012,0,20101214,091628,21451,2
BUX1012,0,20101214,091628,21450,2
BUX1012,0,20101214,091628,21450,3
MTELEKOM,0,20101214,091638,528,708
MOL,0,20101214,091639,19550,6
OTP,0,20101214,091650,5291,131
OTP,0,20101214,091650,5291,169
OTP,0,20101214,091651,5291,125
MOL,0,20101214,091704,19530,60
MOL,0,20101214,091706,19530,3
BUX1112,0,20101214,091719,22051,10
BUX1112,0,20101214,091719,22051,1
MOL,0,20101214,091719,19550,10
KEG,0,20101214,091725,141,1000
KEG,0,20101214,091725,141,700
KEG,0,20101214,091725,141,10
BUX1012,0,20101214,091813,21450,10
BUX1012,0,20101214,091820,21450,15
GENESIS,0,20101214,091823,223,206
GENESIS,0,20101214,091823,222,294
MTELEKOM,0,20101214,091828,528,200
BUX1112,0,20101214,091857,22050,4
BUX1112,0,20101214,091857,22050,1
OTP,0,20101214,091859,5294,100
MTELEKOM,0,20101214,091904,528,92
MTELEKOM,0,20101214,091904,528,158
PANNERGY,0,20101214,091915,860,105
PANNERGY,0,20101214,091915,857,60
MTELEKOM,0,20101214,091921,528,200
OTP,0,20101214,091921,5293,6
OTP,0,20101214,091921,5293,44
MOL,0,20101214,091934,19505,2
OTP,0,20101214,091952,5292,20
OTP,0,20101214,091952,5291,100
OTP,0,20101214,091952,5290,1242
OTP,0,20101214,091952,5290,100
RABA,0,20101214,092004,808,39
BUX1012,0,20101214,092009,21450,20
BUX1012,0,20101214,092014,21450,1
BUX1012,0,20101214,092014,21450,4
MTELEKOM,0,20101214,092026,527,300
BUX1012,0,20101214,092030,21441,8
BUX1012,0,20101214,092030,21440,2
RICHTER,0,20101214,092034,42970,22
PHYLAXIA,0,20101214,092042,45,2000
PANNERGY,0,20101214,092044,857,157
RICHTER,0,20101214,092046,42955,58
OTP,0,20101214,092055,5283,175
OTP,0,20101214,092055,5283,283
OTP,0,20101214,092117,5282,25
GENESIS,0,20101214,092117,224,30
OTP,0,20101214,092125,5282,20
RICHTER,0,20101214,092130,42960,10
RICHTER,0,20101214,092138,42960,1
OTP,0,20101214,092139,5282,100
BUX1112,0,20101214,092140,22010,1
MTELEKOM,0,20101214,092146,527,200
MTELEKOM,0,20101214,092146,527,170
MTELEKOM,0,20101214,092146,527,130
BUX1112,0,20101214,092149,22006,1
BUX1112,0,20101214,092149,22005,1
BUX1112,0,20101214,092149,22004,3
OTP,0,20101214,092150,5282,55
OTP,0,20101214,092150,5281,60
MOL,0,20101214,092156,19505,5
BUX1112,0,20101214,092157,22004,1
OTP,0,20101214,092158,5283,100
BUX1112,0,20101214,092200,22010,1
BUX1012,0,20101214,092203,21435,2
BUX1012,0,20101214,092203,21435,2
BUX1112,0,20101214,092208,22004,1
BUX1112,0,20101214,092208,22001,1
BUX1112,0,20101214,092208,22000,2
BUX1112,0,20101214,092209,22000,1
BUX1012,0,20101214,092214,21430.5,2
BUX1012,0,20101214,092214,21430,4
RICHTER,0,20101214,092215,42965,10
BUX1012,0,20101214,092216,21430,1
MTELEKOM,0,20101214,092221,528,189
OTP,0,20101214,092227,5280,60
OTP,0,20101214,092233,5282,150
OTP,0,20101214,092238,5280,228
MTELEKOM,0,20101214,092240,527,620
MTELEKOM,0,20101214,092240,527,480
MOL,0,20101214,092241,19505,5
OTP,0,20101214,092242,5280,212
OTP,0,20101214,092242,5280,388
BUX1012,0,20101214,092242,21430,1
OTP,0,20101214,092304,5271,5
OTP,0,20101214,092304,5271,10
MOL,0,20101214,092304,19510,20
BUX1112,0,20101214,092308,21999,2
FOTEX,0,20101214,092309,402,120
MOL,0,20101214,092310,19510,1
BUX1012,0,20101214,092314,21425,1
RICHTER,0,20101214,092319,42960,6
BUX1012,0,20101214,092329,21424,10
BUX1012,0,20101214,092329,21423,1
BUX1012,0,20101214,092329,21422.5,2
BUX1012,0,20101214,092329,21421,3
BUX1012,0,20101214,092329,21420,3
PANNERGY,0,20101214,092340,857,20
OTP,0,20101214,092342,5271,13
MOL,0,20101214,092348,19505,30
OTP,0,20101214,092349,5271,477
MTELEKOM,0,20101214,092350,527,1020
MTELEKOM,0,20101214,092350,527,138
RICHTER,0,20101214,092353,42960,13
RICHTER,0,20101214,092353,42955,10
MOL,0,20101214,092403,19505,4
OTP,0,20101214,092407,5271,31
OTP,0,20101214,092413,5271,200
OTP,0,20101214,092413,5271,44
ORC,0,20101214,092421,2030,3030
ANY,0,20101214,092421,742,50
