<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1012,0,20101206,090044,21299,3
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,2
BUX1012,0,20101206,090044,21299,8
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,99
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,2
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,7
BUX1012,0,20101206,090044,21299,2
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,1
BUX1012,0,20101206,090044,21299,2
EGIS,0,20101206,090050,18855,5
EGIS,0,20101206,090050,18855,15
FHB,0,20101206,090050,978,50
FHB,0,20101206,090050,978,200
FHB,0,20101206,090050,978,100
HUMET,0,20101206,090050,9,13400
HUMET,0,20101206,090050,9,34670
HUMET,0,20101206,090050,9,5320
HUMET,0,20101206,090050,9,1
HUMET,0,20101206,090050,9,16600
HUMET,0,20101206,090050,9,28079
HUMET,0,20101206,090050,9,16921
HUMET,0,20101206,090050,9,2000
HUMET,0,20101206,090050,9,12379
HUMET,0,20101206,090050,9,27621
HUMET,0,20101206,090050,9,5500
HUMET,0,20101206,090050,9,700
HUMET,0,20101206,090050,9,30000
HUMET,0,20101206,090050,9,3179
HUMET,0,20101206,090050,9,1821
HUMET,0,20101206,090050,9,5540
HUMET,0,20101206,090050,9,39879
HUMET,0,20101206,090050,9,45000
HUMET,0,20101206,090050,9,15121
HUMET,0,20101206,090050,9,10000
HUMET,0,20101206,090050,9,5000
HUMET,0,20101206,090050,9,3500
HUMET,0,20101206,090050,9,3200
HUMET,0,20101206,090050,9,5000
HUMET,0,20101206,090050,9,1
HUMET,0,20101206,090050,9,678
MOL,0,20101206,090050,19900,2
MOL,0,20101206,090050,19900,20
MOL,0,20101206,090050,19900,15
MOL,0,20101206,090050,19900,63
MOL,0,20101206,090050,19900,35
MOL,0,20101206,090050,19900,50
MOL,0,20101206,090050,19900,8
MOL,0,20101206,090050,19900,144
MOL,0,20101206,090050,19900,156
MOL,0,20101206,090050,19900,50
MOL,0,20101206,090050,19900,4
MOL,0,20101206,090050,19900,6
MOL,0,20101206,090050,19900,4
MOL,0,20101206,090050,19900,9
MOL,0,20101206,090050,19900,200
MOL,0,20101206,090050,19900,100
MOL,0,20101206,090050,19900,5
MOL,0,20101206,090050,19900,100
MOL,0,20101206,090050,19900,60
MOL,0,20101206,090050,19900,52
MOL,0,20101206,090050,19900,50
MOL,0,20101206,090050,19900,50
