<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
ANY,0,20101216,090041,726,66
ANY,0,20101216,090041,726,429
EMASZ,0,20101216,090041,21510,3
FHB,0,20101216,090041,973,100
FHB,0,20101216,090041,973,100
FHB,0,20101216,090041,973,118
FHB,0,20101216,090041,973,200
FHB,0,20101216,090041,973,6
GENESIS,0,20101216,090041,205,267
GENESIS,0,20101216,090041,205,250
HUMET,0,20101216,090041,9,3551
HUMET,0,20101216,090041,9,10000
HUMET,0,20101216,090041,9,10000
HUMET,0,20101216,090041,9,5000
HUMET,0,20101216,090041,9,5000
HUMET,0,20101216,090041,9,1049
HUMET,0,20101216,090041,9,8951
HUMET,0,20101216,090041,9,10000
HUMET,0,20101216,090041,9,6000
HUMET,0,20101216,090041,9,600
HUMET,0,20101216,090041,9,7049
MOL,0,20101216,090041,19540,16
MOL,0,20101216,090041,19540,9
MOL,0,20101216,090041,19540,16
MOL,0,20101216,090041,19540,35
MOL,0,20101216,090041,19540,25
MOL,0,20101216,090041,19540,25
MTELEKOM,0,20101216,090041,514,1
MTELEKOM,0,20101216,090041,514,87
MTELEKOM,0,20101216,090041,514,87
MTELEKOM,0,20101216,090041,514,66
MTELEKOM,0,20101216,090041,514,139
MTELEKOM,0,20101216,090041,514,450
MTELEKOM,0,20101216,090041,514,100
MTELEKOM,0,20101216,090041,514,311
MTELEKOM,0,20101216,090041,514,2689
MTELEKOM,0,20101216,090041,514,300
MTELEKOM,0,20101216,090041,514,700
MTELEKOM,0,20101216,090041,514,808
MTELEKOM,0,20101216,090041,514,1444
OTP,0,20101216,090041,5250,1
OTP,0,20101216,090041,5250,15
OTP,0,20101216,090041,5250,4
OTP,0,20101216,090041,5250,7
OTP,0,20101216,090041,5250,68
OTP,0,20101216,090041,5250,10
OTP,0,20101216,090041,5250,500
OTP,0,20101216,090041,5250,422
OTP,0,20101216,090041,5250,78
OTP,0,20101216,090041,5250,65
OTP,0,20101216,090041,5250,210
OTP,0,20101216,090041,5250,1000
OTP,0,20101216,090041,5250,347
PHYLAXIA,0,20101216,090041,45,678
PHYLAXIA,0,20101216,090041,45,172
PHYLAXIA,0,20101216,090041,45,3000
PHYLAXIA,0,20101216,090041,45,1200
PHYLAXIA,0,20101216,090041,45,2200
PHYLAXIA,0,20101216,090041,45,3428
PHYLAXIA,0,20101216,090041,45,11572
PHYLAXIA,0,20101216,090041,45,3000
PHYLAXIA,0,20101216,090041,45,2000
PHYLAXIA,0,20101216,090041,45,3428
PHYLAXIA,0,20101216,090041,45,6250
PHYLAXIA,0,20101216,090041,45,322
PHYLAXIA,0,20101216,090041,45,1000
PHYLAXIA,0,20101216,090041,45,1678
RABA,0,20101216,090041,804,60
RICHTER,0,20101216,090041,42500,2
RICHTER,0,20101216,090041,42500,3
