<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
EGIS,0,20101231,090009,20250,100
FHB,0,20101231,090009,955,1000
FHB,0,20101231,090009,955,100
FHB,0,20101231,090009,955,50
MOL,0,20101231,090009,20705,11
MTELEKOM,0,20101231,090009,514,1000
MTELEKOM,0,20101231,090009,514,2000
MTELEKOM,0,20101231,090009,514,200
MTELEKOM,0,20101231,090009,514,550
MTELEKOM,0,20101231,090009,514,250
MTELEKOM,0,20101231,090009,514,550
MTELEKOM,0,20101231,090009,514,200
MTELEKOM,0,20101231,090009,514,3500
MTELEKOM,0,20101231,090009,514,191
OTP,0,20101231,090009,5029,50
OTP,0,20101231,090009,5029,2300
OTP,0,20101231,090009,5029,1048
OTP,0,20101231,090009,5029,60
OTP,0,20101231,090009,5029,30
OTP,0,20101231,090009,5029,24
OTP,0,20101231,090009,5029,24
OTP,0,20101231,090009,5029,49
OTP,0,20101231,090009,5029,800
OTP,0,20101231,090009,5029,965
OTP,0,20101231,090009,5029,200
OTP,0,20101231,090009,5029,13835
OTP,0,20101231,090009,5029,40
OTP,0,20101231,090009,5029,1125
OTP,0,20101231,090009,5029,41
OTP,0,20101231,090009,5029,108
OTP,0,20101231,090009,5029,200
OTP,0,20101231,090009,5029,400
OTP,0,20101231,090009,5029,96
OTP,0,20101231,090009,5029,200
OTP,0,20101231,090009,5029,27
PANNERGY,0,20101231,090009,910,8
PANNERGY,0,20101231,090009,910,50
RABA,0,20101231,090009,803,600
ZWACK,0,20101231,090009,12800,6
MTELEKOM,0,20101231,090202,514,10
MTELEKOM,0,20101231,090202,514,1
ECONET,0,20101231,090211,90,779
ECONET,0,20101231,090211,90,365
ECONET,0,20101231,090211,90,4856
PFLAX,0,20101231,090216,571,136
OTP,0,20101231,090230,5048,150
OTP,0,20101231,090230,5048,40
OTP,0,20101231,090230,5049,100
OTP,0,20101231,090230,5049,930
OTP,0,20101231,090231,5049,3
FHB,0,20101231,090232,950,200
OTP,0,20101231,090234,5025,1
GSPARK,0,20101231,090242,768,100
OTP,0,20101231,090254,5045,197
OTP,0,20101231,090254,5047,60
OTP,0,20101231,090254,5049,67
OTP,0,20101231,090254,5049,75
OTP,0,20101231,090254,5049,500
OTP,0,20101231,090254,5050,101
OTP,0,20101231,090304,5026,1
PFLAX,0,20101231,090308,570,110
MOL,0,20101231,090312,20740,10
PHYLAXIA,0,20101231,090337,44,1875
ECONET,0,20101231,090520,90,144
ECONET,0,20101231,090520,90,1000
ECONET,0,20101231,090520,90,1856
ECONET,0,20101231,090532,90,200
ECONET,0,20101231,090538,90,1944
ZWACK,0,20101231,090541,12800,4
ZWACK,0,20101231,090541,12800,96
OTP,0,20101231,090542,5028,43
ZWACK,0,20101231,090547,12800,4
OTP,0,20101231,090555,5028,30
OTP,0,20101231,090611,5030,200
BUX1112,0,20101231,090712,21944.5,1
BUX1112,0,20101231,090712,21945,5
OTP,0,20101231,090720,5038,200
OTP,0,20101231,090720,5038,20
OTP,0,20101231,090720,5038,50
OTP,0,20101231,090726,5038,230
KEG,0,20101231,090739,138,500
OTP,0,20101231,090745,5030,1
PANNERGY,0,20101231,090746,908,20
PVALTO,0,20101231,090759,1665,50
BUX1112,0,20101231,090800,21945,1
FHB,0,20101231,090815,948,455
KEG,0,20101231,090817,138,500
KEG,0,20101231,090817,138,500
MTELEKOM,0,20101231,090823,514,348
MTELEKOM,0,20101231,090823,514,500
MTELEKOM,0,20101231,090823,514,152
ECONET,0,20101231,090849,90,1000
ECONET,0,20101231,090849,90,70
MTELEKOM,0,20101231,090921,514,5000
MTELEKOM,0,20101231,090929,514,500
ECONET,0,20101231,090940,90,930
MTELEKOM,0,20101231,091003,514,117
OTP,0,20101231,091123,5035,120
MTELEKOM,0,20101231,091131,514,231
MTELEKOM,0,20101231,091131,514,140
MTELEKOM,0,20101231,091131,514,1500
OTP,0,20101231,091132,5035,30
OTP,0,20101231,091132,5034,30
MTELEKOM,0,20101231,091254,515,250
MTELEKOM,0,20101231,091254,515,750
OTP,0,20101231,091345,5038,60
OTP,0,20101231,091345,5039,100
OTP,0,20101231,091345,5040,15
OTP,0,20101231,091345,5040,200
OTP,0,20101231,091345,5046,50
OTP,0,20101231,091345,5047,120
OTP,0,20101231,091345,5048,300
OTP,0,20101231,091345,5048,20
OTP,0,20101231,091345,5048,470
OTP,0,20101231,091345,5048,10
OTP,0,20101231,091345,5048,24
OTP,0,20101231,091404,5036,40
PHYLAXIA,0,20101231,091548,44,1500
OTP,0,20101231,091553,5040,300
FHB,0,20101231,091605,947,77
FHB,0,20101231,091605,947,23
MTELEKOM,0,20101231,091613,514,1000
BUX1112,0,20101231,091615,21930,2
BUX1112,0,20101231,091615,21930,10
BUX1112,0,20101231,091615,21930,5
BUX1112,0,20101231,091631,21925,1
OTP,0,20101231,091631,5040,18
OTP,0,20101231,091638,5040,50
OTP,0,20101231,091650,5039,23
OTP,0,20101231,091650,5037,57
OTP,0,20101231,091658,5037,43
OTP,0,20101231,091658,5036,10
OTP,0,20101231,091722,5037,50
OTP,0,20101231,091739,5037,50
OTP,0,20101231,091739,5036,30
PFLAX,0,20101231,091745,585,21
OTP,0,20101231,091818,5035,1
KEG,0,20101231,091851,138,100
OTP,0,20101231,091855,5035,6
ECONET,0,20101231,091902,89,876
MOL,0,20101231,091908,20740,100
FHB,0,20101231,091930,947,177
FHB,0,20101231,091930,947,150
FHB,0,20101231,091930,947,100
GENESIS,0,20101231,091935,173,2000
GENESIS,0,20101231,092017,177,20
OTP,0,20101231,092036,5038,128
OTP,0,20101231,092036,5038,100
OTP,0,20101231,092036,5039,100
OTP,0,20101231,092036,5039,50
OTP,0,20101231,092036,5040,622
FHB,0,20101231,092106,947,320
OTP,0,20101231,092127,5040,10
OTP,0,20101231,092127,5040,10
OTP,0,20101231,092141,5036,50
OTP,0,20101231,092141,5035,2
OTP,0,20101231,092155,5037,66
MOL,0,20101231,092155,20725,14
OTP,0,20101231,092205,5040,2420
OTP,0,20101231,092220,5047,100
OTP,0,20101231,092237,5040,80
MTELEKOM,0,20101231,092245,514,340
MTELEKOM,0,20101231,092248,514,850
KEG,0,20101231,092256,139,800
OTP,0,20101231,092259,5038,26
OTP,0,20101231,092321,5038,24
OTP,0,20101231,092321,5037,62
OTP,0,20101231,092321,5036,14
ECONET,0,20101231,092356,89,204
ECONET,0,20101231,092356,89,796
OTP,0,20101231,092432,5044,56
OTP,0,20101231,092432,5044,43
OTP,0,20101231,092501,5044,157
OTP,0,20101231,092501,5045,500
OTP,0,20101231,092501,5048,84
OTP,0,20101231,092501,5048,19
BUX1112,0,20101231,092511,21926,1
BUX1112,0,20101231,092511,21925,1
BUX1112,0,20101231,092511,21920,4
BUX1112,0,20101231,092511,21910,1
BUX1112,0,20101231,092511,21905,1
BUX1112,0,20101231,092511,21900,5
OTP,0,20101231,092525,5045,200
BUX1112,0,20101231,092530,21900,5
MTELEKOM,0,20101231,092550,514,1970
FHB,0,20101231,092609,947,100
MTELEKOM,0,20101231,092626,514,200
MTELEKOM,0,20101231,092630,514,5500
MTELEKOM,0,20101231,092639,514,140
FHB,0,20101231,092647,947,123
OTP,0,20101231,092649,5038,100
OTP,0,20101231,092649,5037,200
ECONET,0,20101231,092708,89,1000
BUX1112,0,20101231,092730,21900,1
MOL,0,20101231,092750,20750,20
OTP,0,20101231,092821,5040,30
OTP,0,20101231,092831,5040,55
OTP,0,20101231,092838,5040,15
MTELEKOM,0,20101231,092843,514,860
MTELEKOM,0,20101231,092843,514,140
OTP,0,20101231,093020,5040,15
OTP,0,20101231,093020,5043,50
OTP,0,20101231,093020,5044,50
OTP,0,20101231,093020,5044,200
OTP,0,20101231,093020,5045,300
OTP,0,20101231,093020,5045,1500
OTP,0,20101231,093020,5045,45
OTP,0,20101231,093020,5045,10
OTP,0,20101231,093020,5046,1100
OTP,0,20101231,093020,5047,158
ECONET,0,20101231,093049,89,1620
ANY,0,20101231,093055,737,50
ANY,0,20101231,093055,737,550
MTELEKOM,0,20101231,093144,515,708
MTELEKOM,0,20101231,093144,515,150
MTELEKOM,0,20101231,093144,515,116
BUX1112,0,20101231,093205,21893.5,1
BUX1112,0,20101231,093205,21893,7
BUX1112,0,20101231,093205,21900,1
KEG,0,20101231,093210,139,129
MTELEKOM,0,20101231,093235,514,90
MTELEKOM,0,20101231,093235,514,389
OTP,0,20101231,093245,5044,50
OTP,0,20101231,093245,5045,938
FOTEX,0,20101231,093259,380,5000
ECONET,0,20101231,093259,90,1500
OTP,0,20101231,093319,5044,50
OTP,0,20101231,093319,5045,15
MOL,0,20101231,093328,20750,3
MOL,0,20101231,093330,20750,11
MOL,0,20101231,093330,20740,7
MOL,0,20101231,093330,20730,5
MOL,0,20101231,093330,20725,27
OTP,0,20101231,093350,5041,30
OTP,0,20101231,093350,5040,10
FHB,0,20101231,093355,948,100
BUX1112,0,20101231,093439,21900,5
MTELEKOM,0,20101231,093444,513,300
OTP,0,20101231,093453,5045,39
FHB,0,20101231,093508,948,20
BUX1112,0,20101231,093509,21900,1
RABA,0,20101231,093511,800,75
ECONET,0,20101231,093516,89,84
ECONET,0,20101231,093516,89,1216
OTP,0,20101231,093530,5044,50
OTP,0,20101231,093530,5045,838
MTELEKOM,0,20101231,093547,514,13
PANNERGY,0,20101231,093637,907,150
FHB,0,20101231,093646,949,100
BUX1112,0,20101231,093649,21900,5
OTP,0,20101231,093708,5040,49
OTP,0,20101231,093730,5045,299
OTP,0,20101231,093735,5040,100
MTELEKOM,0,20101231,093746,514,2000
DANUBIUS,0,20101231,093752,4370,25
OTP,0,20101231,093757,5043,618
MOL,0,20101231,093818,20745,50
MOL,0,20101231,093837,20765,75
OTP,0,20101231,093858,5040,20
OTP,0,20101231,093858,5039,20
OTP,0,20101231,093858,5036,36
OTP,0,20101231,093858,5036,1
OTP,0,20101231,093858,5036,5
OTP,0,20101231,093858,5036,355
OTP,0,20101231,093858,5035,25
OTP,0,20101231,093858,5035,98
OTP,0,20101231,093914,5043,192
BUX1112,0,20101231,093917,21900,6
BUX1112,0,20101231,093937,21900,8
BUX1112,0,20101231,093955,21900,4
BUX1112,0,20101231,094002,21900,1
RICHTER,0,20101231,094007,42860,77
OTP,0,20101231,094051,5036,46
MTELEKOM,0,20101231,094117,513,75
MTELEKOM,0,20101231,094117,513,925
OTP,0,20101231,094144,5036,50
OTP,0,20101231,094145,5038,150
OTP,0,20101231,094151,5040,396
OTP,0,20101231,094203,5036,304
RICHTER,0,20101231,094204,42600,8
RICHTER,0,20101231,094204,42700,42
OTP,0,20101231,094232,5035,38
OTP,0,20101231,094255,5036,226
OTP,0,20101231,094255,5040,304
OTP,0,20101231,094302,5035,49
OTP,0,20101231,094334,5035,270
OTP,0,20101231,094334,5034,20
OTP,0,20101231,094334,5033,2
OTP,0,20101231,094334,5032,100
OTP,0,20101231,094334,5032,100
OTP,0,20101231,094334,5031,50
OTP,0,20101231,094334,5031,458
OTP,0,20101231,094336,5040,315
OTP,0,20101231,094336,5045,371
OTP,0,20101231,094336,5045,230
OTP,0,20101231,094336,5045,800
OTP,0,20101231,094336,5045,200
OTP,0,20101231,094336,5047,334
MOL,0,20101231,094406,20770,90
MOL,0,20101231,094406,20770,127
OTP,0,20101231,094433,5046,12
FHB,0,20101231,094453,949,100
ECONET,0,20101231,094511,90,500
MOL,0,20101231,094548,20750,10
MOL,0,20101231,094611,20775,2
MTELEKOM,0,20101231,094643,514,400
OTP,0,20101231,094650,5040,85
OTP,0,20101231,094715,5045,50
OTP,0,20101231,094735,5046,65
OTP,0,20101231,094738,5045,23
OTP,0,20101231,094755,5045,77
OTP,0,20101231,094755,5033,55
OTP,0,20101231,094755,5032,248
FHB,0,20101231,094805,950,8
MTELEKOM,0,20101231,094816,514,5000
OTP,0,20101231,094832,5045,20
MTELEKOM,0,20101231,094858,514,1000
MTELEKOM,0,20101231,094859,514,1108
DANUBIUS,0,20101231,094914,4380,56
OTP,0,20101231,094926,5035,37
MOL,0,20101231,094929,20750,14
MOL,0,20101231,094929,20745,16
OTP,0,20101231,094938,5045,30
OTP,0,20101231,094949,5036,976
OTP,0,20101231,095002,5035,136
MTELEKOM,0,20101231,095004,515,3464
MTELEKOM,0,20101231,095004,515,117
MTELEKOM,0,20101231,095004,515,50
MTELEKOM,0,20101231,095004,515,1000
MTELEKOM,0,20101231,095004,515,369
PANNERGY,0,20101231,095014,903,2500
MTELEKOM,0,20101231,095015,514,18322
PANNERGY,0,20101231,095025,907,31
PANNERGY,0,20101231,095025,908,119
MTELEKOM,0,20101231,095112,513,275
MTELEKOM,0,20101231,095112,513,600
MTELEKOM,0,20101231,095112,513,200
MTELEKOM,0,20101231,095112,513,425
KEG,0,20101231,095123,140,100
KEG,0,20101231,095125,140,4190
OTP,0,20101231,095154,5044,122
OTP,0,20101231,095244,5037,750
MTELEKOM,0,20101231,095318,514,1000
OTP,0,20101231,095318,5041,85
KEG,0,20101231,095334,139,500
OTP,0,20101231,095336,5040,250
PANNERGY,0,20101231,095355,902,90
KEG,0,20101231,095357,140,710
KEG,0,20101231,095357,140,200
KEG,0,20101231,095357,140,331
KEG,0,20101231,095357,140,600
KEG,0,20101231,095357,140,3000
KEG,0,20101231,095357,140,160
KEG,0,20101231,095357,140,2000
MTELEKOM,0,20101231,095358,514,389
OTP,0,20101231,095452,5035,100
RICHTER,0,20101231,095452,42600,15
RICHTER,0,20101231,095452,42600,50
OTP,0,20101231,095455,5035,727
MTELEKOM,0,20101231,095457,514,82
FOTEX,0,20101231,095500,378,240
BUX1112,0,20101231,095506,21911,1
BUX1112,0,20101231,095506,21910.5,1
MOL,0,20101231,095515,20765,5
MOL,0,20101231,095515,20770,5
MOL,0,20101231,095515,20770,126
OTP,0,20101231,095527,5035,30
RABA,0,20101231,095537,801,1370
RABA,0,20101231,095553,800,110
TVK,0,20101231,095608,3300,7
TVK,0,20101231,095608,3300,13
TVK,0,20101231,095619,3330,15
OTP,0,20101231,095621,5032,20
RFV,0,20101231,095623,8450,90
MOL,0,20101231,095626,20775,7
