<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
ECONET,0,20101229,090048,89,1500
EGIS,0,20101229,090048,20110,4
EGIS,0,20101229,090048,20110,5
EGIS,0,20101229,090048,20110,1
FHB,0,20101229,090048,972,7303
GENESIS,0,20101229,090048,177,100
GENESIS,0,20101229,090048,177,20
GENESIS,0,20101229,090048,177,660
GENESIS,0,20101229,090048,177,300
GENESIS,0,20101229,090048,177,40
MOL,0,20101229,090048,20400,5
MOL,0,20101229,090048,20400,75
MOL,0,20101229,090048,20400,250
MOL,0,20101229,090048,20400,7
MOL,0,20101229,090048,20400,200
MTELEKOM,0,20101229,090048,513,7800
MTELEKOM,0,20101229,090048,513,3000
MTELEKOM,0,20101229,090048,513,3160
MTELEKOM,0,20101229,090048,513,3000
MTELEKOM,0,20101229,090048,513,840
MTELEKOM,0,20101229,090048,513,160
MTELEKOM,0,20101229,090048,513,540
MTELEKOM,0,20101229,090048,513,2410
MTELEKOM,0,20101229,090048,513,500
MTELEKOM,0,20101229,090048,513,90
MTELEKOM,0,20101229,090048,513,255
MTELEKOM,0,20101229,090048,513,200
OTP,0,20101229,090048,5190,300
OTP,0,20101229,090048,5190,2300
OTP,0,20101229,090048,5190,19
OTP,0,20101229,090048,5190,11
OTP,0,20101229,090048,5190,39
OTP,0,20101229,090048,5190,200
OTP,0,20101229,090048,5190,50
OTP,0,20101229,090048,5190,383
OTP,0,20101229,090048,5190,341
OTP,0,20101229,090048,5190,976
PANNERGY,0,20101229,090048,909,100
RABA,0,20101229,090048,805,10038
RICHTER,0,20101229,090048,43200,20
RICHTER,0,20101229,090048,43200,40
RICHTER,0,20101229,090048,43200,3
RICHTER,0,20101229,090048,43200,17
RICHTER,0,20101229,090048,43200,2
SYNERGON,0,20101229,090048,471,4000
SYNERGON,0,20101229,090048,471,280
SYNERGON,0,20101229,090048,471,1000
SYNERGON,0,20101229,090048,471,479
BUX1112,0,20101229,090051,21994,1
MOL,0,20101229,090200,20400,56
OTP,0,20101229,090200,5190,1024
GENESIS,0,20101229,090201,177,540
MOL,0,20101229,090209,20420,355
MOL,0,20101229,090224,20400,5
RICHTER,0,20101229,090245,43200,12
MTELEKOM,0,20101229,090256,512,500
GENESIS,0,20101229,090341,177,280
GENESIS,0,20101229,090413,177,220
GENESIS,0,20101229,090413,176,1000
GENESIS,0,20101229,090413,175,219
OTP,0,20101229,090423,5180,2000
RICHTER,0,20101229,090454,43105,4
MTELEKOM,0,20101229,090507,514,90
OTP,0,20101229,090527,5170,200
OTP,0,20101229,090538,5161,50
OTP,0,20101229,090538,5160,17
OTP,0,20101229,090538,5160,200
ZWACK,0,20101229,090540,13390,2
ZWACK,0,20101229,090540,13390,200
OTP,0,20101229,090540,5160,29
ZWACK,0,20101229,090550,13500,10
