<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
AAA,0,20110117,090036,245,100
AAA,0,20110117,090036,245,134
CSEPEL,0,20110117,090036,300,50
DANUBIUS,0,20110117,090036,4150,50
DANUBIUS,0,20110117,090036,4150,10
DANUBIUS,0,20110117,090036,4150,14
DANUBIUS,0,20110117,090036,4150,31
ECONET,0,20110117,090036,89,3000
ECONET,0,20110117,090036,89,600
GENESIS,0,20110117,090036,208,244
GENESIS,0,20110117,090036,208,150
HUMET,0,20110117,090036,10,2000
HUMET,0,20110117,090036,10,1000
HUMET,0,20110117,090036,10,9989
HUMET,0,20110117,090036,10,7111
KEG,0,20110117,090036,137,100
KEG,0,20110117,090036,137,192
KEG,0,20110117,090036,137,99
KEG,0,20110117,090036,137,1
MOL,0,20110117,090036,21750,4
MOL,0,20110117,090036,21750,4
MOL,0,20110117,090036,21750,4
MOL,0,20110117,090036,21750,5
MOL,0,20110117,090036,21750,3
MOL,0,20110117,090036,21750,5
MOL,0,20110117,090036,21750,47
MTELEKOM,0,20110117,090036,540,50
MTELEKOM,0,20110117,090036,540,13
MTELEKOM,0,20110117,090036,540,200
MTELEKOM,0,20110117,090036,540,100
MTELEKOM,0,20110117,090036,540,137
OTP,0,20110117,090036,5350,75
OTP,0,20110117,090036,5350,48
OTP,0,20110117,090036,5350,19
OTP,0,20110117,090036,5350,12
OTP,0,20110117,090036,5350,146
OTP,0,20110117,090036,5350,54
OTP,0,20110117,090036,5350,21
OTP,0,20110117,090036,5350,160
OTP,0,20110117,090036,5350,7
OTP,0,20110117,090036,5350,219
OTP,0,20110117,090036,5350,250
OTP,0,20110117,090036,5350,50
OTP,0,20110117,090036,5350,50
OTP,0,20110117,090036,5350,10
OTP,0,20110117,090036,5350,183
OTP,0,20110117,090036,5350,250
OTP,0,20110117,090036,5350,1714
OTP,0,20110117,090036,5350,226
OTP,0,20110117,090036,5350,48
OTP,0,20110117,090036,5350,200
RICHTER,0,20110117,090036,43010,7
RICHTER,0,20110117,090036,43010,7
RICHTER,0,20110117,090036,43010,7
RICHTER,0,20110117,090036,43010,10
TVK,0,20110117,090036,3400,79
TVK,0,20110117,090036,3400,10
TVK,0,20110117,090036,3400,1
EBGOLD,0,20110117,090036,2837,1000
BUX1112,0,20110117,090044,23080,4
BUX1112,0,20110117,090044,23080,1
BUX1112,0,20110117,090044,23080,8
BUX1112,0,20110117,090044,23080,5
BUX1112,0,20110117,090044,23080,5
BUX1112,0,20110117,090044,23080,1
BUX1112,0,20110117,090044,23080,5
BUX1112,0,20110117,090044,23080,5
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,1
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,1
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,3
BUX1112,0,20110117,090044,23080,20
BUX1112,0,20110117,090044,23080,2
BUX1112,0,20110117,090044,23080,20
BUX1112,0,20110117,090044,23080,7
BUX1112,0,20110117,090044,23080,13
BUX1112,0,20110117,090044,23080,10
BUX1112,0,20110117,090044,23080,20
BUX1112,0,20110117,090044,23080,5
BUX1112,0,20110117,090044,23080,2
OTP,0,20110117,090200,5350,1752
OTP,0,20110117,090200,5350,20
OTP,0,20110117,090200,5350,30
BUX1112,0,20110117,090202,23071,2
BUX1112,0,20110117,090202,23060,20
MOL,0,20110117,090207,21680,6
BUX1112,0,20110117,090207,23050,5
ZWACK,0,20110117,090209,12980,15
OTP,0,20110117,090209,5368,50
RABA,0,20110117,090209,837,150
OTP,0,20110117,090212,5351,1
BUX1112,0,20110117,090212,23050,45
OTP,0,20110117,090212,5351,49
OTP,0,20110117,090212,5350,240
OTP,0,20110117,090216,5350,700
OTP,0,20110117,090218,5350,12
OTP,0,20110117,090219,5350,150
BUX1112,0,20110117,090227,23040,1
BUX1112,0,20110117,090227,23040,1
OTP,0,20110117,090229,5340,101
OTP,0,20110117,090229,5340,169
OTP,0,20110117,090229,5340,131
OTP,0,20110117,090229,5340,19
BUX1112,0,20110117,090231,23037,4
BUX1112,0,20110117,090239,23040,50
OTP,0,20110117,090241,5340,22
OTP,0,20110117,090241,5340,10
PHYLAXIA,0,20110117,090244,45,3000
PHYLAXIA,0,20110117,090244,45,3000
PHYLAXIA,0,20110117,090244,45,4000
BUX1112,0,20110117,090249,23040,10
BUX1112,0,20110117,090250,23040,16
BUX1112,0,20110117,090250,23040,34
MTELEKOM,0,20110117,090250,542,80
MTELEKOM,0,20110117,090250,542,430
OTP,0,20110117,090250,5340,125
OTP,0,20110117,090250,5340,375
OTP,0,20110117,090251,5340,93
BUX1112,0,20110117,090253,23005,10
BUX1112,0,20110117,090254,23005,1
BUX1112,0,20110117,090257,23037,2
BUX1112,0,20110117,090257,23040,3
ELMU,0,20110117,090300,27400,4
RABA,0,20110117,090300,839,3
OTP,0,20110117,090302,5340,350
OTP,0,20110117,090302,5338,436
OTP,0,20110117,090302,5338,64
OTP,0,20110117,090302,5338,471
MOL,0,20110117,090303,21660,6
MOL,0,20110117,090303,21660,10
MOL,0,20110117,090303,21650,10
MOL,0,20110117,090303,21650,24
RICHTER,0,20110117,090303,43010,4
MTELEKOM,0,20110117,090303,540,202
OTP,0,20110117,090306,5338,436
OTP,0,20110117,090306,5340,57
OTP,0,20110117,090306,5340,20
OTP,0,20110117,090307,5340,500
MTELEKOM,0,20110117,090308,540,3
OTP,0,20110117,090308,5340,500
RICHTER,0,20110117,090310,43005,1
OTP,0,20110117,090310,5345,29
OTP,0,20110117,090310,5345,171
OTP,0,20110117,090313,5340,1487
KEG,0,20110117,090314,135,300
KEG,0,20110117,090314,135,800
KEG,0,20110117,090314,135,100
FOTEX,0,20110117,090315,381,94
MTELEKOM,0,20110117,090318,542,470
MTELEKOM,0,20110117,090318,542,40
OTP,0,20110117,090319,5339,50
OTP,0,20110117,090319,5335,35
OTP,0,20110117,090319,5335,46
OTP,0,20110117,090321,5338,200
OTP,0,20110117,090321,5340,500
OTP,0,20110117,090340,5335,13
MTELEKOM,0,20110117,090343,542,510
OTP,0,20110117,090351,5340,85
BUX1112,0,20110117,090355,23005,1
OTP,0,20110117,090358,5340,400
MOL,0,20110117,090403,21680,10
MTELEKOM,0,20110117,090410,542,510
BUX1112,0,20110117,090412,23005,3
BUX1112,0,20110117,090412,23005,12
OTP,0,20110117,090416,5340,15
OTP,0,20110117,090418,5340,13
OTP,0,20110117,090433,5336,50
OTP,0,20110117,090433,5335,43
OTP,0,20110117,090433,5335,300
OTP,0,20110117,090433,5335,15
OTP,0,20110117,090433,5335,15
OTP,0,20110117,090433,5335,77
BUX1112,0,20110117,090436,23020,3
BUX1112,0,20110117,090436,23020,15
BUX1112,0,20110117,090436,23035,2
MTELEKOM,0,20110117,090438,542,510
BUX1112,0,20110117,090451,23012,10
BUX1112,0,20110117,090451,23011,3
BUX1112,0,20110117,090451,23010,17
BUX1112,0,20110117,090458,23010,18
BUX1112,0,20110117,090458,23010,15
BUX1112,0,20110117,090458,23003,4
BUX1112,0,20110117,090458,23000,11
MTELEKOM,0,20110117,090505,542,510
BUX1112,0,20110117,090509,23000,20
OTP,0,20110117,090513,5339,500
OTP,0,20110117,090513,5340,50
BUX1112,0,20110117,090514,23000,19
BUX1112,0,20110117,090514,23000,1
RICHTER,0,20110117,090515,43010,1
BUX1112,0,20110117,090518,23029,1
OTP,0,20110117,090526,5340,220
KEG,0,20110117,090528,135,191
OTP,0,20110117,090532,5338,5
OTP,0,20110117,090532,5336,50
OTP,0,20110117,090532,5336,50
OTP,0,20110117,090532,5335,273
OTP,0,20110117,090532,5335,20
OTP,0,20110117,090532,5335,102
MTELEKOM,0,20110117,090532,542,510
OTP,0,20110117,090538,5339,23
OTP,0,20110117,090538,5335,81
OTP,0,20110117,090549,5334,100
OTP,0,20110117,090549,5331,100
OTP,0,20110117,090549,5331,16
OTP,0,20110117,090549,5331,334
MOL,0,20110117,090552,21745,10
PANNERGY,0,20110117,090557,908,21
MTELEKOM,0,20110117,090559,542,510
OTP,0,20110117,090601,5335,400
OTP,0,20110117,090605,5331,166
OTP,0,20110117,090605,5331,466
OTP,0,20110117,090605,5330,1868
MTELEKOM,0,20110117,090627,542,510
BUX1112,0,20110117,090638,23020,1
OTP,0,20110117,090648,5335,19
KEG,0,20110117,090648,135,499
MTELEKOM,0,20110117,090652,542,510
MTELEKOM,0,20110117,090711,542,813
MTELEKOM,0,20110117,090720,542,510
OTP,0,20110117,090735,5335,31
OTP,0,20110117,090735,5335,200
OTP,0,20110117,090735,5335,100
MTELEKOM,0,20110117,090747,542,510
OTP,0,20110117,090748,5339,170
BUX1112,0,20110117,090749,23010,10
MOL,0,20110117,090800,21705,14
OTP,0,20110117,090800,5335,10
MTELEKOM,0,20110117,090800,541,62
MTELEKOM,0,20110117,090800,541,413
MTELEKOM,0,20110117,090805,541,423
BUX1112,0,20110117,090806,23001,1
BUX1112,0,20110117,090806,23001,5
BUX1112,0,20110117,090806,23001,4
OTP,0,20110117,090807,5332,100
OTP,0,20110117,090817,5331,50
OTP,0,20110117,090817,5331,112
RICHTER,0,20110117,090820,43010,4
OTP,0,20110117,090828,5335,100
OTP,0,20110117,090836,5335,50
MTELEKOM,0,20110117,090839,542,100
OTP,0,20110117,090840,5331,48
OTP,0,20110117,090840,5330,132
OTP,0,20110117,090840,5330,20
OTP,0,20110117,090840,5330,50
OTP,0,20110117,090840,5330,50
BUX1112,0,20110117,090841,23001,1
BUX1112,0,20110117,090841,23001,2
OTP,0,20110117,090842,5335,401
OTP,0,20110117,090845,5335,100
OTP,0,20110117,090845,5330,200
OTP,0,20110117,090845,5330,100
OTP,0,20110117,090845,5330,50
OTP,0,20110117,090845,5330,14
OTP,0,20110117,090845,5330,1000
OTP,0,20110117,090845,5330,200
OTP,0,20110117,090845,5330,100
OTP,0,20110117,090845,5330,10
OTP,0,20110117,090850,5330,20
BUX1112,0,20110117,090851,23001,1
