<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1112,0,20110118,090004,23101,1
BUX1112,0,20110118,090004,23101,6
BUX1112,0,20110118,090004,23101,1
BUX1112,0,20110118,090004,23101,2
BUX1112,0,20110118,090004,23101,5
BUX1112,0,20110118,090004,23101,2
BUX1112,0,20110118,090004,23101,7
ECONET,0,20110118,090046,89,10000
FOTEX,0,20110118,090046,389,1
KEG,0,20110118,090046,134,100
MOL,0,20110118,090046,22190,15
MOL,0,20110118,090046,22190,28
MOL,0,20110118,090046,22190,7
MOL,0,20110118,090046,22190,50
MOL,0,20110118,090046,22190,25
MOL,0,20110118,090046,22190,17
MOL,0,20110118,090046,22190,8
MOL,0,20110118,090046,22190,42
MOL,0,20110118,090046,22190,58
MOL,0,20110118,090046,22190,10
MOL,0,20110118,090046,22190,14
MOL,0,20110118,090046,22190,118
MOL,0,20110118,090046,22190,50
MOL,0,20110118,090046,22190,47
MOL,0,20110118,090046,22190,60
MOL,0,20110118,090046,22190,5
MOL,0,20110118,090046,22190,50
MOL,0,20110118,090046,22190,10
MOL,0,20110118,090046,22190,5
MOL,0,20110118,090046,22190,50
MOL,0,20110118,090046,22190,6
MOL,0,20110118,090046,22190,100
MOL,0,20110118,090046,22190,200
MOL,0,20110118,090046,22190,75
MOL,0,20110118,090046,22190,40
MOL,0,20110118,090046,22190,184
MTELEKOM,0,20110118,090046,545,400
MTELEKOM,0,20110118,090046,545,100
MTELEKOM,0,20110118,090046,545,500
ORC,0,20110118,090046,1995,10
OTP,0,20110118,090046,5395,20
OTP,0,20110118,090046,5395,1
OTP,0,20110118,090046,5395,30
OTP,0,20110118,090046,5395,11
OTP,0,20110118,090046,5395,300
OTP,0,20110118,090046,5395,334
OTP,0,20110118,090046,5395,1000
OTP,0,20110118,090046,5395,1337
OTP,0,20110118,090046,5395,50
OTP,0,20110118,090046,5395,800
OTP,0,20110118,090046,5395,400
OTP,0,20110118,090046,5395,1000
OTP,0,20110118,090046,5395,79
OTP,0,20110118,090046,5395,421
OTP,0,20110118,090046,5395,579
OTP,0,20110118,090046,5395,421
OTP,0,20110118,090046,5395,50
OTP,0,20110118,090046,5395,100
OTP,0,20110118,090046,5395,20
OTP,0,20110118,090046,5395,909
OTP,0,20110118,090046,5395,600
OTP,0,20110118,090046,5395,600
OTP,0,20110118,090046,5395,500
RABA,0,20110118,090046,842,20
RICHTER,0,20110118,090046,42860,14
SYNERGON,0,20110118,090046,520,208
SYNERGON,0,20110118,090046,520,190
ZWACK,0,20110118,090046,13000,5
ZWACK,0,20110118,090046,13000,2
OTP,0,20110118,090200,5395,2391
OTP,0,20110118,090200,5399,50
OTP,0,20110118,090200,5399,200
OTP,0,20110118,090200,5400,220
OTP,0,20110118,090200,5400,113
OTP,0,20110118,090200,5400,250
OTP,0,20110118,090200,5400,130
OTP,0,20110118,090200,5400,200
OTP,0,20110118,090200,5400,49
OTP,0,20110118,090200,5400,180
OTP,0,20110118,090200,5400,358
OTP,0,20110118,090200,5400,222
OTP,0,20110118,090200,5400,50
OTP,0,20110118,090200,5400,650
OTP,0,20110118,090200,5400,600
OTP,0,20110118,090200,5400,10
OTP,0,20110118,090200,5400,18
OTP,0,20110118,090200,5400,15
OTP,0,20110118,090200,5400,14
OTP,0,20110118,090200,5400,20
OTP,0,20110118,090200,5400,10
OTP,0,20110118,090200,5400,560
OTP,0,20110118,090200,5400,20
OTP,0,20110118,090200,5400,97
OTP,0,20110118,090200,5400,20
OTP,0,20110118,090200,5407,118
OTP,0,20110118,090200,5409,45
OTP,0,20110118,090200,5410,85
OTP,0,20110118,090200,5410,195
OTP,0,20110118,090200,5410,25
OTP,0,20110118,090200,5410,10
OTP,0,20110118,090200,5420,250
OTP,0,20110118,090200,5420,2640
OTP,0,20110118,090200,5420,185
OTP,0,20110118,090204,5395,100
OTP,0,20110118,090204,5390,20
OTP,0,20110118,090204,5390,80
RICHTER,0,20110118,090205,43000,7
RICHTER,0,20110118,090205,43000,18
RICHTER,0,20110118,090205,43000,3
RICHTER,0,20110118,090205,43000,5
RICHTER,0,20110118,090205,43000,7
RICHTER,0,20110118,090205,43000,55
ORC,0,20110118,090207,1995,10
BUX1112,0,20110118,090209,23120,2
OTP,0,20110118,090213,5400,700
BUX1112,0,20110118,090223,23128,1
SYNERGON,0,20110118,090226,520,2
SYNERGON,0,20110118,090226,525,100
SYNERGON,0,20110118,090226,528,48
OTP,0,20110118,090227,5405,1000
BUX1112,0,20110118,090228,23130,1
BUX1112,0,20110118,090228,23134,2
OTP,0,20110118,090230,5410,5000
OTP,0,20110118,090234,5410,200
OTP,0,20110118,090244,5410,20
OTP,0,20110118,090245,5419,380
BUX1112,0,20110118,090249,23138.5,1
CSEPEL,0,20110118,090251,350,200
MOL,0,20110118,090253,22180,500
MOL,0,20110118,090253,22180,500
BUX1112,0,20110118,090255,23138.5,1
BUX1112,0,20110118,090255,23140,2
MOL,0,20110118,090258,22180,500
MOL,0,20110118,090258,22180,500
MOL,0,20110118,090259,22185,200
OTP,0,20110118,090300,5419,400
OTP,0,20110118,090301,5419,190
