<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,8
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,10
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,4
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,1
BUX1112,0,20110113,090023,23230,2
BUX1112,0,20110113,090023,23230,15
BUX1112,0,20110113,090023,23230,8
BUX1112,0,20110113,090023,23230,20
BUX1112,0,20110113,090023,23230,10
BUX1112,0,20110113,090023,23230,10
BUX1112,0,20110113,090023,23230,7
ECONET,0,20110113,090058,89,200
ECONET,0,20110113,090058,89,1000
ECONET,0,20110113,090058,89,750
EGIS,0,20110113,090058,21395,6
EGIS,0,20110113,090058,21395,30
EGIS,0,20110113,090058,21395,24
FHB,0,20110113,090058,972,65
FOTEX,0,20110113,090058,382,199
FOTEX,0,20110113,090058,382,1
HUMET,0,20110113,090058,9,700
HUMET,0,20110113,090058,9,1311
MOL,0,20110113,090058,22170,3
MOL,0,20110113,090058,22170,197
MOL,0,20110113,090058,22170,5
MOL,0,20110113,090058,22170,100
MOL,0,20110113,090058,22170,9
MOL,0,20110113,090058,22170,5
MOL,0,20110113,090058,22170,35
MOL,0,20110113,090058,22170,69
MOL,0,20110113,090058,22170,200
MOL,0,20110113,090058,22170,21
MOL,0,20110113,090058,22170,79
MOL,0,20110113,090058,22170,15
MOL,0,20110113,090058,22170,3
