<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1112,0,20110124,090016,23770,2
BUX1112,0,20110124,090016,23770,3
BUX1112,0,20110124,090016,23770,2
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,5
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,10
BUX1112,0,20110124,090016,23770,4
BUX1112,0,20110124,090016,23770,30
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,10
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,4
BUX1112,0,20110124,090016,23770,1
BUX1112,0,20110124,090016,23770,27
BUX1112,0,20110124,090016,23770,10
BUX1112,0,20110124,090016,23770,15
BUX1112,0,20110124,090016,23770,10
CSEPEL,0,20110124,090035,361,25
CSEPEL,0,20110124,090035,361,150
DANUBIUS,0,20110124,090035,4200,5
DANUBIUS,0,20110124,090035,4200,112
DANUBIUS,0,20110124,090035,4200,388
HUMET,0,20110124,090035,9,3
HUMET,0,20110124,090035,9,47
MOL,0,20110124,090035,22450,31
MOL,0,20110124,090035,22450,13
MOL,0,20110124,090035,22450,36
MOL,0,20110124,090035,22450,50
MOL,0,20110124,090035,22450,10
MOL,0,20110124,090035,22450,154
MOL,0,20110124,090035,22450,100
MOL,0,20110124,090035,22450,246
MOL,0,20110124,090035,22450,4
MOL,0,20110124,090035,22450,1
MOL,0,20110124,090035,22450,8
MTELEKOM,0,20110124,090035,551,151
MTELEKOM,0,20110124,090035,551,79
MTELEKOM,0,20110124,090035,551,121
MTELEKOM,0,20110124,090035,551,100
MTELEKOM,0,20110124,090035,551,1279
MTELEKOM,0,20110124,090035,551,221
ORC,0,20110124,090035,1995,5
OTP,0,20110124,090035,5731,200
OTP,0,20110124,090035,5731,150
OTP,0,20110124,090035,5731,1650
OTP,0,20110124,090035,5731,142
OTP,0,20110124,090035,5731,120
OTP,0,20110124,090035,5731,17
OTP,0,20110124,090035,5731,35
OTP,0,20110124,090035,5731,40
OTP,0,20110124,090035,5731,8
OTP,0,20110124,090035,5731,7
OTP,0,20110124,090035,5731,3
OTP,0,20110124,090035,5731,50
OTP,0,20110124,090035,5731,49
OTP,0,20110124,090035,5731,100
OTP,0,20110124,090035,5731,13
OTP,0,20110124,090035,5731,20
OTP,0,20110124,090035,5731,138
OTP,0,20110124,090035,5731,140
OTP,0,20110124,090035,5731,100
OTP,0,20110124,090035,5731,75
OTP,0,20110124,090035,5731,200
OTP,0,20110124,090035,5731,1830
OTP,0,20110124,090035,5731,100
OTP,0,20110124,090035,5731,88
OTP,0,20110124,090035,5731,120
OTP,0,20110124,090035,5731,890
OTP,0,20110124,090035,5731,5
OTP,0,20110124,090035,5731,164
OTP,0,20110124,090035,5731,11
OTP,0,20110124,090035,5731,14
OTP,0,20110124,090035,5731,25
OTP,0,20110124,090035,5731,25
OTP,0,20110124,090035,5731,450
OTP,0,20110124,090035,5731,20
OTP,0,20110124,090035,5731,1530
OTP,0,20110124,090035,5731,2470
OTP,0,20110124,090035,5731,30
OTP,0,20110124,090035,5731,70
OTP,0,20110124,090035,5731,3
PHYLAXIA,0,20110124,090035,44,150
PHYLAXIA,0,20110124,090035,44,100
QUAESTOR,0,20110124,090035,305,35
QUAESTOR,0,20110124,090035,305,100
RICHTER,0,20110124,090035,42550,8
RICHTER,0,20110124,090035,42550,1
RICHTER,0,20110124,090035,42550,1
RICHTER,0,20110124,090035,42550,23
RICHTER,0,20110124,090035,42550,10
RICHTER,0,20110124,090035,42550,16
SYNERGON,0,20110124,090035,511,120
SYNERGON,0,20110124,090035,511,700
PANNERGY,0,20110124,090204,915,1000
BUX1112,0,20110124,090206,23770,128
OTP,0,20110124,090209,5740,3
BUX1112,0,20110124,090209,23770,10
OTP,0,20110124,090210,5740,243
OTP,0,20110124,090210,5740,389
OTP,0,20110124,090210,5740,232
BUX1112,0,20110124,090213,23721,10
FOTEX,0,20110124,090213,388,124
MTELEKOM,0,20110124,090214,553,182
BUX1112,0,20110124,090217,23770,1
BUX1112,0,20110124,090217,23779,10
BUX1112,0,20110124,090217,23780,20
BUX1112,0,20110124,090217,23785,15
BUX1112,0,20110124,090217,23788,2
BUX1112,0,20110124,090217,23788,1
BUX1112,0,20110124,090217,23790,1
ZWACK,0,20110124,090217,13410,5
ZWACK,0,20110124,090217,13410,8
OTP,0,20110124,090218,5740,10
OTP,0,20110124,090223,5735,875
RICHTER,0,20110124,090226,42550,20
OTP,0,20110124,090227,5740,10
OTP,0,20110124,090227,5740,100
OTP,0,20110124,090234,5740,50
OTP,0,20110124,090235,5740,182
OTP,0,20110124,090237,5740,5
CSEPEL,0,20110124,090238,365,1
BUX1112,0,20110124,090239,23790,3
OTP,0,20110124,090250,5740,13
OTP,0,20110124,090250,5740,87
OTP,0,20110124,090250,5744,10
OTP,0,20110124,090250,5744,50
BUX1112,0,20110124,090255,23770,3
OTP,0,20110124,090256,5744,30
OTP,0,20110124,090256,5749,33
OTP,0,20110124,090256,5749,100
OTP,0,20110124,090256,5749,100
OTP,0,20110124,090256,5750,200
OTP,0,20110124,090256,5750,109
OTP,0,20110124,090256,5750,67
OTP,0,20110124,090256,5750,90
OTP,0,20110124,090256,5750,271
RABA,0,20110124,090301,836,132
RABA,0,20110124,090301,835,9
MOL,0,20110124,090304,22500,8
MOL,0,20110124,090304,22500,6
MOL,0,20110124,090304,22500,73
OTP,0,20110124,090306,5750,189
OTP,0,20110124,090306,5750,145
OTP,0,20110124,090306,5750,26
OTP,0,20110124,090306,5750,320
OTP,0,20110124,090306,5750,100
OTP,0,20110124,090306,5750,172
OTP,0,20110124,090306,5750,8
RICHTER,0,20110124,090308,42550,4
OTP,0,20110124,090310,5750,10
OTP,0,20110124,090316,5750,1262
OTP,0,20110124,090316,5750,200
OTP,0,20110124,090316,5750,50
OTP,0,20110124,090316,5750,252
OTP,0,20110124,090316,5750,20
OTP,0,20110124,090316,5750,100
OTP,0,20110124,090316,5750,2000
OTP,0,20110124,090316,5750,56
OTP,0,20110124,090316,5750,30
OTP,0,20110124,090324,5750,65
OTP,0,20110124,090333,5752,225
OTP,0,20110124,090334,5755,20
OTP,0,20110124,090334,5755,100
OTP,0,20110124,090334,5755,15
OTP,0,20110124,090334,5755,261
OTP,0,20110124,090341,5759,100
OTP,0,20110124,090341,5759,100
OTP,0,20110124,090341,5760,100
OTP,0,20110124,090341,5760,499
OTP,0,20110124,090341,5760,1000
OTP,0,20110124,090341,5760,100
OTP,0,20110124,090341,5760,185
OTP,0,20110124,090341,5760,100
OTP,0,20110124,090341,5760,200
MTELEKOM,0,20110124,090344,552,500
MTELEKOM,0,20110124,090344,552,500
OTP,0,20110124,090345,5760,100
OTP,0,20110124,090347,5764,11
OTP,0,20110124,090347,5764,144
OTP,0,20110124,090349,5765,25
OTP,0,20110124,090349,5765,73
OTP,0,20110124,090349,5766,91
OTP,0,20110124,090349,5768,375
OTP,0,20110124,090349,5768,12
OTP,0,20110124,090349,5768,40
OTP,0,20110124,090349,5769,208
OTP,0,20110124,090349,5769,100
OTP,0,20110124,090349,5769,100
OTP,0,20110124,090349,5770,16
OTP,0,20110124,090349,5770,300
OTP,0,20110124,090349,5770,19
OTP,0,20110124,090349,5770,141
OTP,0,20110124,090354,5770,659
OTP,0,20110124,090354,5770,50
OTP,0,20110124,090354,5770,79
OTP,0,20110124,090356,5770,121
OTP,0,20110124,090356,5770,48
OTP,0,20110124,090356,5770,40
OTP,0,20110124,090356,5770,2291
OTP,0,20110124,090357,5770,246
OTP,0,20110124,090400,5770,73
OTP,0,20110124,090401,5761,28
OTP,0,20110124,090401,5769,486
OTP,0,20110124,090405,5769,264
OTP,0,20110124,090406,5770,220
OTP,0,20110124,090408,5769,4
OTP,0,20110124,090410,5769,96
OTP,0,20110124,090410,5770,904
ZWACK,0,20110124,090413,13400,10
ZWACK,0,20110124,090414,13400,15
ZWACK,0,20110124,090414,13400,10
OTP,0,20110124,090416,5770,236
OTP,0,20110124,090416,5770,169
OTP,0,20110124,090416,5770,102
OTP,0,20110124,090416,5770,400
OTP,0,20110124,090417,5770,8
OTP,0,20110124,090419,5770,65
OTP,0,20110124,090419,5770,425
OTP,0,20110124,090419,5770,59
OTP,0,20110124,090419,5770,1016
OTP,0,20110124,090424,5772,95
OTP,0,20110124,090425,5775,100
OTP,0,20110124,090425,5775,80
OTP,0,20110124,090425,5772,100
OTP,0,20110124,090426,5775,143
OTP,0,20110124,090427,5775,17
OTP,0,20110124,090427,5775,268
OTP,0,20110124,090428,5775,222
OTP,0,20110124,090428,5775,30
OTP,0,20110124,090428,5775,206
OTP,0,20110124,090428,5775,50
OTP,0,20110124,090428,5772,82
OTP,0,20110124,090428,5771,668
OTP,0,20110124,090430,5775,63
