<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BOOK,0,20110121,090018,480,423
BOOK,0,20110121,090018,480,19
BOOK,0,20110121,090018,480,105
CSEPEL,0,20110121,090018,355,105
CSEPEL,0,20110121,090018,355,540
ECONET,0,20110121,090018,90,3000
ECONET,0,20110121,090018,90,1200
EGIS,0,20110121,090018,20695,10
EGIS,0,20110121,090018,20695,4
EGIS,0,20110121,090018,20695,11
FHB,0,20110121,090018,966,300
FHB,0,20110121,090018,966,350
FHB,0,20110121,090018,966,50
FHB,0,20110121,090018,966,300
FHB,0,20110121,090018,966,26
MOL,0,20110121,090018,22330,1
MOL,0,20110121,090018,22330,39
MOL,0,20110121,090018,22330,6
MOL,0,20110121,090018,22330,6
MOL,0,20110121,090018,22330,144
MOL,0,20110121,090018,22330,156
MOL,0,20110121,090018,22330,44
MOL,0,20110121,090018,22330,6
MOL,0,20110121,090018,22330,150
MTELEKOM,0,20110121,090018,550,100
MTELEKOM,0,20110121,090018,550,100
MTELEKOM,0,20110121,090018,550,140
MTELEKOM,0,20110121,090018,550,33
MTELEKOM,0,20110121,090018,550,427
MTELEKOM,0,20110121,090018,550,600
MTELEKOM,0,20110121,090018,550,773
ORC,0,20110121,090018,1990,10
OTP,0,20110121,090018,5620,33
OTP,0,20110121,090018,5620,7
OTP,0,20110121,090018,5620,48
OTP,0,20110121,090018,5620,24
OTP,0,20110121,090018,5620,121
OTP,0,20110121,090018,5620,55
OTP,0,20110121,090018,5620,450
OTP,0,20110121,090018,5620,60
OTP,0,20110121,090018,5620,64
OTP,0,20110121,090018,5620,94
OTP,0,20110121,090018,5620,100
OTP,0,20110121,090018,5620,120
OTP,0,20110121,090018,5620,422
OTP,0,20110121,090018,5620,78
OTP,0,20110121,090018,5620,422
OTP,0,20110121,090018,5620,78
OTP,0,20110121,090018,5620,122
OTP,0,20110121,090018,5620,143
OTP,0,20110121,090018,5620,1720
OTP,0,20110121,090018,5620,61
OTP,0,20110121,090018,5620,83
OTP,0,20110121,090018,5620,871
OTP,0,20110121,090018,5620,129
OTP,0,20110121,090018,5620,251
OTP,0,20110121,090018,5620,30
OTP,0,20110121,090018,5620,20
OTP,0,20110121,090018,5620,400
OTP,0,20110121,090018,5620,250
OTP,0,20110121,090018,5620,32
