<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,2
BUX1112,0,20110127,090049,23760,2
BUX1112,0,20110127,090049,23760,2
BUX1112,0,20110127,090049,23760,4
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,2
BUX1112,0,20110127,090049,23760,3
BUX1112,0,20110127,090049,23760,4
BUX1112,0,20110127,090049,23760,5
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,10
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,1
BUX1112,0,20110127,090049,23760,3
BUX1112,0,20110127,090049,23760,3
BUX1112,0,20110127,090049,23760,4
BUX1112,0,20110127,090049,23760,3
BUX1112,0,20110127,090049,23760,2
BUX1112,0,20110127,090049,23760,2
CSEPEL,0,20110127,090058,518,100
CSEPEL,0,20110127,090058,518,100
CSEPEL,0,20110127,090058,518,29
CSEPEL,0,20110127,090058,518,41
CSEPEL,0,20110127,090058,518,59
CSEPEL,0,20110127,090058,518,91
DANUBIUS,0,20110127,090058,4100,60
EGIS,0,20110127,090058,21000,6
EGIS,0,20110127,090058,21000,6
EGIS,0,20110127,090058,21000,5
EGIS,0,20110127,090058,21000,5
EGIS,0,20110127,090058,21000,11
EGIS,0,20110127,090058,21000,42
EGIS,0,20110127,090058,21000,50
EGIS,0,20110127,090058,21000,2
EGIS,0,20110127,090058,21000,10
EGIS,0,20110127,090058,21000,50
FHB,0,20110127,090058,1022,640
FHB,0,20110127,090058,1022,402
FHB,0,20110127,090058,1022,200
GENESIS,0,20110127,090058,208,95
HUMET,0,20110127,090058,9,1000
KEG,0,20110127,090058,129,400
KEG,0,20110127,090058,129,800
KEG,0,20110127,090058,129,50
LINAMAR,0,20110127,090058,2600,6
LINAMAR,0,20110127,090058,2600,14
MOL,0,20110127,090058,22485,16
MOL,0,20110127,090058,22485,14
MOL,0,20110127,090058,22485,100
MOL,0,20110127,090058,22485,70
MOL,0,20110127,090058,22485,12
MTELEKOM,0,20110127,090058,555,800
MTELEKOM,0,20110127,090058,555,300
MTELEKOM,0,20110127,090058,555,806
MTELEKOM,0,20110127,090058,555,1
MTELEKOM,0,20110127,090058,555,1193
MTELEKOM,0,20110127,090058,555,807
MTELEKOM,0,20110127,090058,555,88
MTELEKOM,0,20110127,090058,555,105
MTELEKOM,0,20110127,090058,555,3895
MTELEKOM,0,20110127,090058,555,1000
OTP,0,20110127,090058,5785,50
OTP,0,20110127,090058,5785,1312
OTP,0,20110127,090058,5785,48
OTP,0,20110127,090058,5785,80
OTP,0,20110127,090058,5785,91
OTP,0,20110127,090058,5785,799
OTP,0,20110127,090058,5785,20
OTP,0,20110127,090058,5785,400
OTP,0,20110127,090058,5785,70
OTP,0,20110127,090058,5785,25
OTP,0,20110127,090058,5785,686
OTP,0,20110127,090058,5785,50
OTP,0,20110127,090058,5785,264
OTP,0,20110127,090058,5785,936
OTP,0,20110127,090058,5785,3064
OTP,0,20110127,090058,5785,1010
OTP,0,20110127,090058,5785,100
OTP,0,20110127,090058,5785,200
OTP,0,20110127,090058,5785,100
OTP,0,20110127,090058,5785,200
OTP,0,20110127,090058,5785,326
OTP,0,20110127,090058,5785,1639
OTP,0,20110127,090058,5785,1
OTP,0,20110127,090058,5785,20
OTP,0,20110127,090058,5785,340
OTP,0,20110127,090058,5785,7
OTP,0,20110127,090058,5785,753
OTP,0,20110127,090058,5785,1000
OTP,0,20110127,090058,5785,150
OTP,0,20110127,090058,5785,97
OTP,0,20110127,090058,5785,103
OTP,0,20110127,090058,5785,20
OTP,0,20110127,090058,5785,1500
OTP,0,20110127,090058,5785,250
OTP,0,20110127,090058,5785,127
OTP,0,20110127,090058,5785,273
OTP,0,20110127,090058,5785,500
OTP,0,20110127,090058,5785,20
OTP,0,20110127,090058,5785,100
OTP,0,20110127,090058,5785,250
OTP,0,20110127,090058,5785,100
OTP,0,20110127,090058,5785,8
OTP,0,20110127,090058,5785,50
OTP,0,20110127,090058,5785,440
OTP,0,20110127,090058,5785,63
OTP,0,20110127,090058,5785,196
OTP,0,20110127,090058,5785,54
