<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
AAA,0,20110111,090034,245,83
AAA,0,20110111,090034,245,87
AAA,0,20110111,090034,245,100
ANY,0,20110111,090034,739,97
ANY,0,20110111,090034,739,300
ANY,0,20110111,090034,739,96
ANY,0,20110111,090034,739,307
DANUBIUS,0,20110111,090034,4495,23
DANUBIUS,0,20110111,090034,4495,25
FOTEX,0,20110111,090034,383,12
FREESOFT,0,20110111,090034,2143,30
MOL,0,20110111,090034,21600,1
MOL,0,20110111,090034,21600,10
MOL,0,20110111,090034,21600,4
MOL,0,20110111,090034,21600,15
MOL,0,20110111,090034,21600,19
MOL,0,20110111,090034,21600,10
MOL,0,20110111,090034,21600,3
MTELEKOM,0,20110111,090034,550,39
MTELEKOM,0,20110111,090034,550,114
MTELEKOM,0,20110111,090034,550,49
MTELEKOM,0,20110111,090034,550,4951
MTELEKOM,0,20110111,090034,550,200
MTELEKOM,0,20110111,090034,550,559
MTELEKOM,0,20110111,090034,550,10
MTELEKOM,0,20110111,090034,550,5
MTELEKOM,0,20110111,090034,550,500
MTELEKOM,0,20110111,090034,550,926
MTELEKOM,0,20110111,090034,550,717
MTELEKOM,0,20110111,090034,550,100
MTELEKOM,0,20110111,090034,550,183
MTELEKOM,0,20110111,090034,550,1817
MTELEKOM,0,20110111,090034,550,183
MTELEKOM,0,20110111,090034,550,1326
MTELEKOM,0,20110111,090034,550,891
OTP,0,20110111,090034,5225,5
OTP,0,20110111,090034,5225,8
OTP,0,20110111,090034,5225,48
OTP,0,20110111,090034,5225,1
OTP,0,20110111,090034,5225,20
OTP,0,20110111,090034,5225,31
OTP,0,20110111,090034,5225,69
OTP,0,20110111,090034,5225,140
OTP,0,20110111,090034,5225,59
OTP,0,20110111,090034,5225,132
OTP,0,20110111,090034,5225,68
OTP,0,20110111,090034,5225,1
OTP,0,20110111,090034,5225,331
OTP,0,20110111,090034,5225,200
OTP,0,20110111,090034,5225,200
OTP,0,20110111,090034,5225,800
OTP,0,20110111,090034,5225,20
OTP,0,20110111,090034,5225,75
OTP,0,20110111,090034,5225,374
OTP,0,20110111,090034,5225,500
OTP,0,20110111,090034,5225,100
