<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
ECONET,0,20110107,090033,90,1500
EGIS,0,20110107,090033,20885,5
EGIS,0,20110107,090033,20885,4
FHB,0,20110107,090033,978,100
FHB,0,20110107,090033,978,50
FHB,0,20110107,090033,978,170
FOTEX,0,20110107,090033,388,200
FOTEX,0,20110107,090033,388,300
GENESIS,0,20110107,090033,241,150
GENESIS,0,20110107,090033,241,150
GENESIS,0,20110107,090033,241,150
HUMET,0,20110107,090033,9,5380
HUMET,0,20110107,090033,9,5000
HUMET,0,20110107,090033,9,10000
HUMET,0,20110107,090033,9,4
HUMET,0,20110107,090033,9,3000
HUMET,0,20110107,090033,9,11770
HUMET,0,20110107,090033,9,20000
HUMET,0,20110107,090033,9,13296
HUMET,0,20110107,090033,9,6704
HUMET,0,20110107,090033,9,5550
HUMET,0,20110107,090033,9,50000
HUMET,0,20110107,090033,9,13366
HUMET,0,20110107,090033,9,46634
HUMET,0,20110107,090033,9,3386
HUMET,0,20110107,090033,9,3000
KEG,0,20110107,090033,140,552
KEG,0,20110107,090033,140,448
KEG,0,20110107,090033,140,300
KEG,0,20110107,090033,140,800
KEG,0,20110107,090033,140,452
KEG,0,20110107,090033,140,442
KEG,0,20110107,090033,140,500
KEG,0,20110107,090033,140,606
KEG,0,20110107,090033,140,394
KEG,0,20110107,090033,140,700
MOL,0,20110107,090033,21500,47
MOL,0,20110107,090033,21500,15
MOL,0,20110107,090033,21500,38
MOL,0,20110107,090033,21500,253
MOL,0,20110107,090033,21500,10
MOL,0,20110107,090033,21500,20
MOL,0,20110107,090033,21500,130
MOL,0,20110107,090033,21500,49
MOL,0,20110107,090033,21500,1
MOL,0,20110107,090033,21500,4
MOL,0,20110107,090033,21500,46
MOL,0,20110107,090033,21500,3
MOL,0,20110107,090033,21500,2
MOL,0,20110107,090033,21500,48
MOL,0,20110107,090033,21500,52
MOL,0,20110107,090033,21500,100
MOL,0,20110107,090033,21500,2
MTELEKOM,0,20110107,090033,558,345
MTELEKOM,0,20110107,090033,558,1000
MTELEKOM,0,20110107,090033,558,600
MTELEKOM,0,20110107,090033,558,10
MTELEKOM,0,20110107,090033,558,100
MTELEKOM,0,20110107,090033,558,346
MTELEKOM,0,20110107,090033,558,485
MTELEKOM,0,20110107,090033,558,919
MTELEKOM,0,20110107,090033,558,745
MTELEKOM,0,20110107,090033,558,1336
MTELEKOM,0,20110107,090033,558,110
MTELEKOM,0,20110107,090033,558,100
MTELEKOM,0,20110107,090033,558,100
MTELEKOM,0,20110107,090033,558,10000
OTP,0,20110107,090033,5346,200
OTP,0,20110107,090033,5346,8
OTP,0,20110107,090033,5346,20
OTP,0,20110107,090033,5346,100
OTP,0,20110107,090033,5346,57
OTP,0,20110107,090033,5346,14
OTP,0,20110107,090033,5346,500
OTP,0,20110107,090033,5346,185
OTP,0,20110107,090033,5346,500
OTP,0,20110107,090033,5346,14
OTP,0,20110107,090033,5346,6
OTP,0,20110107,090033,5346,29
OTP,0,20110107,090033,5346,80
OTP,0,20110107,090033,5346,76
OTP,0,20110107,090033,5346,324
OTP,0,20110107,090033,5346,25
OTP,0,20110107,090033,5346,6
OTP,0,20110107,090033,5346,645
OTP,0,20110107,090033,5346,50
OTP,0,20110107,090033,5346,305
OTP,0,20110107,090033,5346,400
PANNERGY,0,20110107,090033,910,200
PANNERGY,0,20110107,090033,910,86
PANNERGY,0,20110107,090033,910,100
RABA,0,20110107,090033,830,15
RFV,0,20110107,090033,8350,40
RFV,0,20110107,090033,8350,2
RFV,0,20110107,090033,8350,7
RFV,0,20110107,090033,8350,1
RFV,0,20110107,090033,8350,19
RFV,0,20110107,090033,8350,25
RFV,0,20110107,090033,8350,6
RFV,0,20110107,090033,8350,4
RICHTER,0,20110107,090033,43600,10
RICHTER,0,20110107,090033,43600,3
RICHTER,0,20110107,090033,43600,14
RICHTER,0,20110107,090033,43600,42
RICHTER,0,20110107,090033,43600,2
RICHTER,0,20110107,090033,43600,7
RICHTER,0,20110107,090033,43600,7
ZWACK,0,20110107,090033,12550,5
ZWACK,0,20110107,090033,12550,5
ZWACK,0,20110107,090033,12550,3
ZWACK,0,20110107,090033,12550,5
ZWACK,0,20110107,090033,12550,7
ZWACK,0,20110107,090033,12550,3
ZWACK,0,20110107,090033,12550,3
ZWACK,0,20110107,090033,12550,3
ZWACK,0,20110107,090033,12550,11
ZWACK,0,20110107,090033,12550,59
ZWACK,0,20110107,090033,12550,6
ZWACK,0,20110107,090033,12550,50
ZWACK,0,20110107,090033,12550,5
ZWACK,0,20110107,090033,12550,30
BUX1112,0,20110107,090041,23000,8
