<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
BOOK,0,20110105,090016,478,100
BOOK,0,20110105,090016,478,100
ECONET,0,20110105,090016,90,1727
ECONET,0,20110105,090016,90,1500
FHB,0,20110105,090016,972,100
FHB,0,20110105,090016,972,200
GENESIS,0,20110105,090016,224,670
GENESIS,0,20110105,090016,224,100
GENESIS,0,20110105,090016,224,1000
GENESIS,0,20110105,090016,224,500
GENESIS,0,20110105,090016,224,500
GENESIS,0,20110105,090016,224,30
GENESIS,0,20110105,090016,224,180
GENESIS,0,20110105,090016,224,240
GENESIS,0,20110105,090016,224,80
GENESIS,0,20110105,090016,224,251
GENESIS,0,20110105,090016,224,1100
GENESIS,0,20110105,090016,224,149
GENESIS,0,20110105,090016,224,300
GENESIS,0,20110105,090016,224,100
GENESIS,0,20110105,090016,224,300
KEG,0,20110105,090016,135,700
KEG,0,20110105,090016,135,37
MOL,0,20110105,090016,21095,3
MOL,0,20110105,090016,21095,4
MOL,0,20110105,090016,21095,7
MOL,0,20110105,090016,21095,10
MOL,0,20110105,090016,21095,2
MOL,0,20110105,090016,21095,81
MOL,0,20110105,090016,21095,19
MOL,0,20110105,090016,21095,5
MOL,0,20110105,090016,21095,50
MOL,0,20110105,090016,21095,1
MOL,0,20110105,090016,21095,73
MOL,0,20110105,090016,21095,5
MOL,0,20110105,090016,21095,198
MOL,0,20110105,090016,21095,100
MTELEKOM,0,20110105,090016,548,1
MTELEKOM,0,20110105,090016,548,47
MTELEKOM,0,20110105,090016,548,244
MTELEKOM,0,20110105,090016,548,602
MTELEKOM,0,20110105,090016,548,70
MTELEKOM,0,20110105,090016,548,70
MTELEKOM,0,20110105,090016,548,25
MTELEKOM,0,20110105,090016,548,180
MTELEKOM,0,20110105,090016,548,53
MTELEKOM,0,20110105,090016,548,100
MTELEKOM,0,20110105,090016,548,47
MTELEKOM,0,20110105,090016,548,753
MTELEKOM,0,20110105,090016,548,247
MTELEKOM,0,20110105,090016,548,150
MTELEKOM,0,20110105,090016,548,200
MTELEKOM,0,20110105,090016,548,90
MTELEKOM,0,20110105,090016,548,326
MTELEKOM,0,20110105,090016,548,74
MTELEKOM,0,20110105,090016,548,100
MTELEKOM,0,20110105,090016,548,500
MTELEKOM,0,20110105,090016,548,239
OTP,0,20110105,090016,5201,50
OTP,0,20110105,090016,5201,16
OTP,0,20110105,090016,5201,245
OTP,0,20110105,090016,5201,79
OTP,0,20110105,090016,5201,220
OTP,0,20110105,090016,5201,1
OTP,0,20110105,090016,5201,100
OTP,0,20110105,090016,5201,10
