<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
CSEPEL,0,20110106,090002,272,350
CSEPEL,0,20110106,090002,272,10
ECONET,0,20110106,090002,90,201
ECONET,0,20110106,090002,90,2000
ECONET,0,20110106,090002,90,899
EGIS,0,20110106,090002,20400,50
FHB,0,20110106,090002,974,50
GENESIS,0,20110106,090002,230,200
GENESIS,0,20110106,090002,230,50
GENESIS,0,20110106,090002,230,300
GENESIS,0,20110106,090002,230,50
GENESIS,0,20110106,090002,230,150
GENESIS,0,20110106,090002,230,169
GENESIS,0,20110106,090002,230,831
GENESIS,0,20110106,090002,230,169
GENESIS,0,20110106,090002,230,2166
HUMET,0,20110106,090002,9,25000
HUMET,0,20110106,090002,9,38960
HUMET,0,20110106,090002,9,11040
HUMET,0,20110106,090002,9,30000
KEG,0,20110106,090002,134,1000
MOL,0,20110106,090002,21320,20
MOL,0,20110106,090002,21320,4
MOL,0,20110106,090002,21320,1
MOL,0,20110106,090002,21320,14
MOL,0,20110106,090002,21320,5
MTELEKOM,0,20110106,090002,552,100
MTELEKOM,0,20110106,090002,552,400
MTELEKOM,0,20110106,090002,552,200
MTELEKOM,0,20110106,090002,552,400
MTELEKOM,0,20110106,090002,552,100
MTELEKOM,0,20110106,090002,552,450
MTELEKOM,0,20110106,090002,552,550
OTP,0,20110106,090002,5299,90
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,30
OTP,0,20110106,090002,5299,190
OTP,0,20110106,090002,5299,264
OTP,0,20110106,090002,5299,330
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,50
OTP,0,20110106,090002,5299,52
OTP,0,20110106,090002,5299,750
OTP,0,20110106,090002,5299,4
OTP,0,20110106,090002,5299,18
OTP,0,20110106,090002,5299,100
OTP,0,20110106,090002,5299,100
OTP,0,20110106,090002,5299,350
OTP,0,20110106,090002,5299,500
OTP,0,20110106,090002,5299,7
OTP,0,20110106,090002,5299,401
OTP,0,20110106,090002,5299,1
OTP,0,20110106,090002,5299,90
OTP,0,20110106,090002,5299,30
OTP,0,20110106,090002,5299,100
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,25
OTP,0,20110106,090002,5299,338
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,97
OTP,0,20110106,090002,5299,53
OTP,0,20110106,090002,5299,8
OTP,0,20110106,090002,5299,89
OTP,0,20110106,090002,5299,270
OTP,0,20110106,090002,5299,141
OTP,0,20110106,090002,5299,59
OTP,0,20110106,090002,5299,2
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,15
OTP,0,20110106,090002,5299,40
OTP,0,20110106,090002,5299,80
OTP,0,20110106,090002,5299,500
OTP,0,20110106,090002,5299,548
OTP,0,20110106,090002,5299,1120
OTP,0,20110106,090002,5299,100
PANNERGY,0,20110106,090002,913,100
RICHTER,0,20110106,090002,43300,1
RICHTER,0,20110106,090002,43300,10
RICHTER,0,20110106,090002,43300,1
RICHTER,0,20110106,090002,43300,23
RICHTER,0,20110106,090002,43300,16
TVNETWORK,0,20110106,090002,297,350
ZWACK,0,20110106,090002,13000,38
BUX1112,0,20110106,090004,22800,1
BUX1112,0,20110106,090004,22800,1
BUX1112,0,20110106,090004,22800,1
BUX1112,0,20110106,090004,22800,1
BUX1112,0,20110106,090004,22800,1
BUX1112,0,20110106,090004,22800,4
FHB,0,20110106,090200,974,150
BUX1112,0,20110106,090203,22800,1
OTP,0,20110106,090203,5299,2200
BUX1112,0,20110106,090205,22800,5
OTP,0,20110106,090206,5295,170
OTP,0,20110106,090206,5295,44
PANNERGY,0,20110106,090207,913,229
MOL,0,20110106,090210,21380,10
MOL,0,20110106,090210,21380,13
RICHTER,0,20110106,090210,43300,4
BUX1112,0,20110106,090210,22810,3
OTP,0,20110106,090211,5295,18
OTP,0,20110106,090212,5295,33
PANNERGY,0,20110106,090214,913,571
RABA,0,20110106,090215,820,13
OTP,0,20110106,090215,5295,535
OTP,0,20110106,090215,5295,150
MTELEKOM,0,20110106,090216,553,300
RFV,0,20110106,090220,8400,50
RFV,0,20110106,090220,8400,50
GENESIS,0,20110106,090223,230,100
MTELEKOM,0,20110106,090225,552,100
OTP,0,20110106,090228,5297,115
OTP,0,20110106,090228,5295,35
OTP,0,20110106,090232,5295,60
OTP,0,20110106,090232,5295,405
OTP,0,20110106,090232,5291,50
OTP,0,20110106,090232,5290,1090
OTP,0,20110106,090232,5290,670
OTP,0,20110106,090232,5290,567
OTP,0,20110106,090232,5290,8
OTP,0,20110106,090232,5290,210
RICHTER,0,20110106,090232,43300,75
OTP,0,20110106,090239,5290,264
OTP,0,20110106,090239,5290,20
OTP,0,20110106,090239,5290,250
OTP,0,20110106,090239,5290,1000
RICHTER,0,20110106,090247,43300,55
RICHTER,0,20110106,090247,43300,18
OTP,0,20110106,090254,5287,96
BUX1112,0,20110106,090255,22835,2
BUX1112,0,20110106,090255,22839,1
BUX1112,0,20110106,090255,22839,1
